,DateTime,Graph_Date,Day,Holiday,Seq,Watt,Temp('C),Humidity(%),CPI
0,20130301,2013-03-01,금,0,0,299,3.0,84.0,2.8
1,20130301,2013-03-01,금,0,1,224,3.0,87.0,2.8
2,20130301,2013-03-01,금,0,2,887,3.0,87.0,2.8
3,20130301,2013-03-01,금,0,3,259,3.0,87.0,2.8
4,20130301,2013-03-01,금,0,4,218,3.0,93.0,2.8
5,20130301,2013-03-01,금,0,5,1057,3.0,93.0,2.8
6,20130301,2013-03-01,금,0,6,295,3.0,96.5,2.8
7,20130301,2013-03-01,금,0,7,270,4.0,93.0,2.8
8,20130301,2013-03-01,금,0,8,4321,4.5,93.0,2.8
9,20130301,2013-03-01,금,0,9,450,5.0,93.0,2.8
10,20130301,2013-03-01,금,0,10,1054,6.0,87.0,2.8
11,20130301,2013-03-01,금,0,11,288,6.0,81.0,2.8
12,20130301,2013-03-01,금,0,12,2660,5.5,81.5,2.8
13,20130301,2013-03-01,금,0,13,2874,6.0,66.0,2.8
14,20130301,2013-03-01,금,0,14,558,6.0,61.0,2.8
15,20130301,2013-03-01,금,0,15,553,6.0,61.0,2.8
16,20130301,2013-03-01,금,0,16,350,6.0,61.0,2.8
17,20130301,2013-03-01,금,0,17,2858,6.0,61.0,2.8
18,20130301,2013-03-01,금,0,18,4144,5.5,65.5,2.8
19,20130301,2013-03-01,금,0,19,352,5.0,70.0,2.8
20,20130301,2013-03-01,금,0,20,1063,5.0,65.0,2.8
21,20130301,2013-03-01,금,0,21,492,4.0,70.0,2.8
22,20130301,2013-03-01,금,0,22,518,4.0,70.0,2.8
23,20130301,2013-03-01,금,0,23,1106,4.0,70.0,2.8
24,20130302,2013-03-02,토,1,0,214,3.0,72.5,2.8
25,20130302,2013-03-02,토,1,1,432,3.0,75.0,2.8
26,20130302,2013-03-02,토,1,2,293,3.0,75.0,2.8
27,20130302,2013-03-02,토,1,3,216,3.0,75.0,2.8
28,20130302,2013-03-02,토,1,4,1129,3.0,75.0,2.8
29,20130302,2013-03-02,토,1,5,665,3.0,72.5,2.8
30,20130302,2013-03-02,토,1,6,290,3.0,75.0,2.8
31,20130302,2013-03-02,토,1,7,2669,3.0,75.0,2.8
