,DateTime,Day,Holiday,Seq,Watt,Temp
0,2013년 9월 1일 - 0시,일,1,0,236,14.5
1,2013년 9월 1일 - 1시,일,1,1,218,14.0
2,2013년 9월 1일 - 2시,일,1,2,229,14.0
3,2013년 9월 1일 - 3시,일,1,3,215,13.5
4,2013년 9월 1일 - 4시,일,1,4,227,13.0
5,2013년 9월 1일 - 5시,일,1,5,238,12.5
6,2013년 9월 1일 - 6시,일,1,6,228,12.0
7,2013년 9월 1일 - 7시,일,1,7,2587,13.0
8,2013년 9월 1일 - 8시,일,1,8,1978,14.5
9,2013년 9월 1일 - 9시,일,1,9,961,15.5
10,2013년 9월 1일 - 10시,일,1,10,260,16.5
11,2013년 9월 1일 - 11시,일,1,11,257,18.0
12,2013년 9월 1일 - 12시,일,1,12,401,18.5
13,2013년 9월 1일 - 13시,일,1,13,2628,19.5
14,2013년 9월 1일 - 14시,일,1,14,363,20.0
15,2013년 9월 1일 - 15시,일,1,15,254,21.0
16,2013년 9월 1일 - 16시,일,1,16,2659,21.0
17,2013년 9월 1일 - 17시,일,1,17,2011,21.0
18,2013년 9월 1일 - 18시,일,1,18,931,21.0
19,2013년 9월 1일 - 19시,일,1,19,584,20.0
20,2013년 9월 1일 - 20시,일,1,20,488,19.0
21,2013년 9월 1일 - 21시,일,1,21,2721,17.5
22,2013년 9월 1일 - 22시,일,1,22,2673,17.0
23,2013년 9월 1일 - 23시,일,1,23,308,17.0
24,2013년 9월 2일 - 0시,월,0,0,236,16.0
25,2013년 9월 2일 - 1시,월,0,1,232,16.0
26,2013년 9월 2일 - 2시,월,0,2,234,15.5
27,2013년 9월 2일 - 3시,월,0,3,375,14.0
28,2013년 9월 2일 - 4시,월,0,4,231,14.0
29,2013년 9월 2일 - 5시,월,0,5,235,13.0
30,2013년 9월 2일 - 6시,월,0,6,4310,13.5
31,2013년 9월 2일 - 7시,월,0,7,2065,15.5
32,2013년 9월 2일 - 8시,월,0,8,2464,16.5
33,2013년 9월 2일 - 9시,월,0,9,1119,17.5
34,2013년 9월 2일 - 10시,월,0,10,423,18.5
35,2013년 9월 2일 - 11시,월,0,11,3000,21.0
36,2013년 9월 2일 - 12시,월,0,12,2803,21.5
37,2013년 9월 2일 - 13시,월,0,13,443,23.5
38,2013년 9월 2일 - 14시,월,0,14,450,24.5
39,2013년 9월 2일 - 15시,월,0,15,2883,25.0
40,2013년 9월 2일 - 16시,월,0,16,1970,24.5
41,2013년 9월 2일 - 17시,월,0,17,2640,25.0
42,2013년 9월 2일 - 18시,월,0,18,775,24.0
43,2013년 9월 2일 - 19시,월,0,19,2270,23.5
44,2013년 9월 2일 - 20시,월,0,20,496,22.5
45,2013년 9월 2일 - 21시,월,0,21,439,21.5
46,2013년 9월 2일 - 22시,월,0,22,224,21.0
47,2013년 9월 2일 - 23시,월,0,23,219,21.0
48,2013년 9월 3일 - 0시,화,0,0,219,19.5
49,2013년 9월 3일 - 1시,화,0,1,222,19.0
50,2013년 9월 3일 - 2시,화,0,2,224,17.5
51,2013년 9월 3일 - 3시,화,0,3,223,17.5
52,2013년 9월 3일 - 4시,화,0,4,275,17.0
53,2013년 9월 3일 - 5시,화,0,5,224,16.5
54,2013년 9월 3일 - 6시,화,0,6,3795,16.5
55,2013년 9월 3일 - 7시,화,0,7,1962,17.5
56,2013년 9월 3일 - 8시,화,0,8,533,19.0
57,2013년 9월 3일 - 9시,화,0,9,409,19.5
58,2013년 9월 3일 - 10시,화,0,10,346,21.0
59,2013년 9월 3일 - 11시,화,0,11,1980,21.5
60,2013년 9월 3일 - 12시,화,0,12,258,23.5
61,2013년 9월 3일 - 13시,화,0,13,251,24.0
62,2013년 9월 3일 - 14시,화,0,14,2690,24.0
63,2013년 9월 3일 - 15시,화,0,15,1866,25.0
64,2013년 9월 3일 - 16시,화,0,16,1971,25.0
65,2013년 9월 3일 - 17시,화,0,17,2636,25.0
