,DateTime,Graph_Date,Day,Holiday,Seq,Watt,Temp
0,20150101,2015-01-01,목,1,0,574,6.0
1,20150101,2015-01-01,목,1,1,386,6.0
2,20150101,2015-01-01,목,1,2,278,7.0
3,20150101,2015-01-01,목,1,3,232,7.0
4,20150101,2015-01-01,목,1,4,236,7.5
5,20150101,2015-01-01,목,1,5,247,8.0
6,20150101,2015-01-01,목,1,6,906,8.0
7,20150101,2015-01-01,목,1,7,862,8.5
8,20150101,2015-01-01,목,1,8,281,8.0
9,20150101,2015-01-01,목,1,9,267,8.5
10,20150101,2015-01-01,목,1,10,269,9.0
11,20150101,2015-01-01,목,1,11,254,9.0
12,20150101,2015-01-01,목,1,12,239,9.0
13,20150101,2015-01-01,목,1,13,1046,9.0
14,20150101,2015-01-01,목,1,14,248,9.5
15,20150101,2015-01-01,목,1,15,247,10.0
16,20150101,2015-01-01,목,1,16,724,10.0
17,20150101,2015-01-01,목,1,17,225,10.5
18,20150101,2015-01-01,목,1,18,249,10.5
19,20150101,2015-01-01,목,1,19,267,11.0
20,20150101,2015-01-01,목,1,20,451,11.0
21,20150101,2015-01-01,목,1,21,285,11.0
22,20150101,2015-01-01,목,1,22,293,11.5
23,20150101,2015-01-01,목,1,23,195,12.5
24,20150102,2015-01-02,금,0,0,278,13.0
25,20150102,2015-01-02,금,0,1,260,13.0
26,20150102,2015-01-02,금,0,2,322,13.0
27,20150102,2015-01-02,금,0,3,238,13.0
28,20150102,2015-01-02,금,0,4,275,13.0
29,20150102,2015-01-02,금,0,5,333,12.5
30,20150102,2015-01-02,금,0,6,426,11.0
31,20150102,2015-01-02,금,0,7,440,10.5
32,20150102,2015-01-02,금,0,8,251,10.0
33,20150102,2015-01-02,금,0,9,253,9.5
34,20150102,2015-01-02,금,0,10,274,9.0
35,20150102,2015-01-02,금,0,11,292,9.0
36,20150102,2015-01-02,금,0,12,312,9.0
37,20150102,2015-01-02,금,0,13,258,9.0
38,20150102,2015-01-02,금,0,14,252,9.0
39,20150102,2015-01-02,금,0,15,250,9.0
40,20150102,2015-01-02,금,0,16,249,8.0
41,20150102,2015-01-02,금,0,17,245,8.0
42,20150102,2015-01-02,금,0,18,265,7.0
43,20150102,2015-01-02,금,0,19,285,6.5
44,20150102,2015-01-02,금,0,20,307,6.0
45,20150102,2015-01-02,금,0,21,440,6.0
46,20150102,2015-01-02,금,0,22,333,6.0
47,20150102,2015-01-02,금,0,23,572,6.0
48,20150103,2015-01-03,토,1,0,258,6.0
49,20150103,2015-01-03,토,1,1,977,6.0
50,20150103,2015-01-03,토,1,2,354,6.5
51,20150103,2015-01-03,토,1,3,235,7.0
52,20150103,2015-01-03,토,1,4,261,6.5
53,20150103,2015-01-03,토,1,5,248,5.5
54,20150103,2015-01-03,토,1,6,287,5.0
55,20150103,2015-01-03,토,1,7,286,5.0
56,20150103,2015-01-03,토,1,8,259,5.0
57,20150103,2015-01-03,토,1,9,274,5.0
58,20150103,2015-01-03,토,1,10,340,5.0
59,20150103,2015-01-03,토,1,11,247,5.0
60,20150103,2015-01-03,토,1,12,405,6.0
61,20150103,2015-01-03,토,1,13,252,6.0
62,20150103,2015-01-03,토,1,14,257,6.0
63,20150103,2015-01-03,토,1,15,256,6.0
64,20150103,2015-01-03,토,1,16,247,6.0
65,20150103,2015-01-03,토,1,17,262,5.0
66,20150103,2015-01-03,토,1,18,801,4.5
67,20150103,2015-01-03,토,1,19,270,4.0
68,20150103,2015-01-03,토,1,20,312,4.0
69,20150103,2015-01-03,토,1,21,222,3.5
70,20150103,2015-01-03,토,1,22,286,3.5
71,20150103,2015-01-03,토,1,23,270,3.5
72,20150104,2015-01-04,일,1,0,284,3.0
73,20150104,2015-01-04,일,1,1,280,3.0
74,20150104,2015-01-04,일,1,2,290,3.0
75,20150104,2015-01-04,일,1,3,398,2.0
76,20150104,2015-01-04,일,1,4,294,2.0
77,20150104,2015-01-04,일,1,5,247,2.0
78,20150104,2015-01-04,일,1,6,288,1.5
79,20150104,2015-01-04,일,1,7,269,1.0
80,20150104,2015-01-04,일,1,8,336,1.0
81,20150104,2015-01-04,일,1,9,282,2.0
82,20150104,2015-01-04,일,1,10,253,2.5
83,20150104,2015-01-04,일,1,11,245,2.5
84,20150104,2015-01-04,일,1,12,254,2.0
85,20150104,2015-01-04,일,1,13,273,2.5
86,20150104,2015-01-04,일,1,14,250,3.0
87,20150104,2015-01-04,일,1,15,261,2.0
88,20150104,2015-01-04,일,1,16,280,2.5
89,20150104,2015-01-04,일,1,17,415,3.0
90,20150104,2015-01-04,일,1,18,294,3.0
91,20150104,2015-01-04,일,1,19,270,3.0
92,20150104,2015-01-04,일,1,20,309,3.0
93,20150104,2015-01-04,일,1,21,225,3.0
94,20150104,2015-01-04,일,1,22,443,3.0
95,20150104,2015-01-04,일,1,23,2785,3.5
96,20150105,2015-01-05,월,0,0,2466,4.0
97,20150105,2015-01-05,월,0,1,675,4.0
98,20150105,2015-01-05,월,0,2,281,4.5
99,20150105,2015-01-05,월,0,3,283,5.5
100,20150105,2015-01-05,월,0,4,299,6.0
101,20150105,2015-01-05,월,0,5,375,6.5
102,20150105,2015-01-05,월,0,6,274,6.5
103,20150105,2015-01-05,월,0,7,4778,7.0
104,20150105,2015-01-05,월,0,8,2170,7.5
105,20150105,2015-01-05,월,0,9,665,8.0
106,20150105,2015-01-05,월,0,10,2787,8.5
107,20150105,2015-01-05,월,0,11,2956,9.0
108,20150105,2015-01-05,월,0,12,3668,9.5
109,20150105,2015-01-05,월,0,13,555,10.0
110,20150105,2015-01-05,월,0,14,4658,10.0
111,20150105,2015-01-05,월,0,15,459,10.0
112,20150105,2015-01-05,월,0,16,4706,10.0
113,20150105,2015-01-05,월,0,17,546,10.0
114,20150105,2015-01-05,월,0,18,3439,9.5
115,20150105,2015-01-05,월,0,19,3149,9.0
116,20150105,2015-01-05,월,0,20,2503,9.0
117,20150105,2015-01-05,월,0,21,873,9.0
118,20150105,2015-01-05,월,0,22,2735,9.0
119,20150105,2015-01-05,월,0,23,2624,9.0
120,20150106,2015-01-06,화,0,0,2631,8.5
121,20150106,2015-01-06,화,0,1,277,8.0
122,20150106,2015-01-06,화,0,2,253,8.0
123,20150106,2015-01-06,화,0,3,258,8.0
124,20150106,2015-01-06,화,0,4,310,8.5
125,20150106,2015-01-06,화,0,5,342,8.0
126,20150106,2015-01-06,화,0,6,352,8.0
127,20150106,2015-01-06,화,0,7,253,8.5
128,20150106,2015-01-06,화,0,8,4657,9.0
129,20150106,2015-01-06,화,0,9,4470,9.0
130,20150106,2015-01-06,화,0,10,2900,9.5
131,20150106,2015-01-06,화,0,11,1793,10.0
132,20150106,2015-01-06,화,0,12,2708,10.5
133,20150106,2015-01-06,화,0,13,1980,10.5
134,20150106,2015-01-06,화,0,14,434,9.0
135,20150106,2015-01-06,화,0,15,4612,8.5
136,20150106,2015-01-06,화,0,16,3211,8.0
137,20150106,2015-01-06,화,0,17,2146,8.0
138,20150106,2015-01-06,화,0,18,807,7.0
139,20150106,2015-01-06,화,0,19,632,6.5
140,20150106,2015-01-06,화,0,20,784,6.0
141,20150106,2015-01-06,화,0,21,690,5.0
142,20150106,2015-01-06,화,0,22,446,4.5
143,20150106,2015-01-06,화,0,23,294,4.5
144,20150107,2015-01-07,수,0,0,270,4.0
145,20150107,2015-01-07,수,0,1,294,4.0
146,20150107,2015-01-07,수,0,2,286,4.0
147,20150107,2015-01-07,수,0,3,287,4.0
148,20150107,2015-01-07,수,0,4,307,3.5
149,20150107,2015-01-07,수,0,5,374,4.0
150,20150107,2015-01-07,수,0,6,242,4.5
151,20150107,2015-01-07,수,0,7,3714,5.0
152,20150107,2015-01-07,수,0,8,3073,6.0
153,20150107,2015-01-07,수,0,9,632,7.5
154,20150107,2015-01-07,수,0,10,3087,8.0
155,20150107,2015-01-07,수,0,11,4222,8.5
156,20150107,2015-01-07,수,0,12,3672,9.0
157,20150107,2015-01-07,수,0,13,4811,9.0
158,20150107,2015-01-07,수,0,14,712,10.0
159,20150107,2015-01-07,수,0,15,1669,9.5
160,20150107,2015-01-07,수,0,16,775,9.0
161,20150107,2015-01-07,수,0,17,2479,9.0
162,20150107,2015-01-07,수,0,18,2827,10.0
163,20150107,2015-01-07,수,0,19,3130,10.0
164,20150107,2015-01-07,수,0,20,2432,10.0
165,20150107,2015-01-07,수,0,21,790,10.0
166,20150107,2015-01-07,수,0,22,565,10.0
167,20150107,2015-01-07,수,0,23,558,10.0
168,20150108,2015-01-08,목,0,0,513,10.5
169,20150108,2015-01-08,목,0,1,541,11.0
170,20150108,2015-01-08,목,0,2,474,12.0
171,20150108,2015-01-08,목,0,3,523,12.0
172,20150108,2015-01-08,목,0,4,554,12.0
173,20150108,2015-01-08,목,0,5,484,12.0
174,20150108,2015-01-08,목,0,6,495,11.5
175,20150108,2015-01-08,목,0,7,4889,11.5
176,20150108,2015-01-08,목,0,8,2809,10.0
177,20150108,2015-01-08,목,0,9,2828,9.0
178,20150108,2015-01-08,목,0,10,2599,9.0
179,20150108,2015-01-08,목,0,11,2679,9.0
180,20150108,2015-01-08,목,0,12,4472,9.0
181,20150108,2015-01-08,목,0,13,2933,9.0
182,20150108,2015-01-08,목,0,14,502,9.5
183,20150108,2015-01-08,목,0,15,500,9.5
184,20150108,2015-01-08,목,0,16,2110,9.0
185,20150108,2015-01-08,목,0,17,3441,9.0
186,20150108,2015-01-08,목,0,18,3659,9.0
187,20150108,2015-01-08,목,0,19,2956,8.0
188,20150108,2015-01-08,목,0,20,3319,8.0
189,20150108,2015-01-08,목,0,21,1823,8.0
190,20150108,2015-01-08,목,0,22,832,8.0
191,20150108,2015-01-08,목,0,23,404,9.0
192,20150109,2015-01-09,금,0,0,557,9.5
193,20150109,2015-01-09,금,0,1,376,10.0
194,20150109,2015-01-09,금,0,2,322,10.0
195,20150109,2015-01-09,금,0,3,235,10.5
196,20150109,2015-01-09,금,0,4,301,11.0
197,20150109,2015-01-09,금,0,5,331,11.0
198,20150109,2015-01-09,금,0,6,2605,12.0
199,20150109,2015-01-09,금,0,7,2726,12.0
200,20150109,2015-01-09,금,0,8,1971,12.0
201,20150109,2015-01-09,금,0,9,4503,12.0
202,20150109,2015-01-09,금,0,10,1977,12.0
203,20150109,2015-01-09,금,0,11,342,13.0
204,20150109,2015-01-09,금,0,12,2900,13.0
205,20150109,2015-01-09,금,0,13,317,13.0
206,20150109,2015-01-09,금,0,14,1190,13.0
207,20150109,2015-01-09,금,0,15,2038,13.5
208,20150109,2015-01-09,금,0,16,3168,13.0
209,20150109,2015-01-09,금,0,17,2075,13.0
210,20150109,2015-01-09,금,0,18,1994,14.5
211,20150109,2015-01-09,금,0,19,3166,15.0
212,20150109,2015-01-09,금,0,20,709,15.5
213,20150109,2015-01-09,금,0,21,719,15.0
214,20150109,2015-01-09,금,0,22,5059,15.0
215,20150109,2015-01-09,금,0,23,803,14.5
216,20150110,2015-01-10,토,1,0,418,14.0
217,20150110,2015-01-10,토,1,1,249,14.0
218,20150110,2015-01-10,토,1,2,235,14.0
219,20150110,2015-01-10,토,1,3,810,13.5
220,20150110,2015-01-10,토,1,4,298,13.0
221,20150110,2015-01-10,토,1,5,236,13.0
222,20150110,2015-01-10,토,1,6,387,13.0
223,20150110,2015-01-10,토,1,7,574,13.0
224,20150110,2015-01-10,토,1,8,2796,13.5
225,20150110,2015-01-10,토,1,9,2774,14.0
226,20150110,2015-01-10,토,1,10,458,14.0
227,20150110,2015-01-10,토,1,11,2863,12.5
228,20150110,2015-01-10,토,1,12,2728,12.0
229,20150110,2015-01-10,토,1,13,886,11.0
230,20150110,2015-01-10,토,1,14,4436,9.5
231,20150110,2015-01-10,토,1,15,2479,9.0
232,20150110,2015-01-10,토,1,16,2617,8.5
233,20150110,2015-01-10,토,1,17,4414,8.0
234,20150110,2015-01-10,토,1,18,2881,7.5
235,20150110,2015-01-10,토,1,19,603,6.5
236,20150110,2015-01-10,토,1,20,437,6.0
237,20150110,2015-01-10,토,1,21,573,6.0
238,20150110,2015-01-10,토,1,22,650,5.5
239,20150110,2015-01-10,토,1,23,388,5.0
240,20150111,2015-01-11,일,1,0,372,5.0
241,20150111,2015-01-11,일,1,1,292,4.0
242,20150111,2015-01-11,일,1,2,377,4.0
243,20150111,2015-01-11,일,1,3,289,4.0
244,20150111,2015-01-11,일,1,4,379,4.0
245,20150111,2015-01-11,일,1,5,291,4.0
246,20150111,2015-01-11,일,1,6,311,4.0
247,20150111,2015-01-11,일,1,7,317,5.0
248,20150111,2015-01-11,일,1,8,2816,5.0
249,20150111,2015-01-11,일,1,9,1976,5.0
250,20150111,2015-01-11,일,1,10,298,6.0
251,20150111,2015-01-11,일,1,11,289,7.0
252,20150111,2015-01-11,일,1,12,446,8.0
253,20150111,2015-01-11,일,1,13,287,9.0
254,20150111,2015-01-11,일,1,14,254,9.0
255,20150111,2015-01-11,일,1,15,986,8.5
256,20150111,2015-01-11,일,1,16,2979,8.5
257,20150111,2015-01-11,일,1,17,2022,8.0
258,20150111,2015-01-11,일,1,18,2216,8.0
259,20150111,2015-01-11,일,1,19,7144,8.0
260,20150111,2015-01-11,일,1,20,2787,8.0
261,20150111,2015-01-11,일,1,21,897,8.0
262,20150111,2015-01-11,일,1,22,2755,8.5
263,20150111,2015-01-11,일,1,23,2599,9.0
264,20150112,2015-01-12,월,0,0,235,9.0
265,20150112,2015-01-12,월,0,1,1971,9.5
266,20150112,2015-01-12,월,0,2,382,10.0
267,20150112,2015-01-12,월,0,3,374,10.0
268,20150112,2015-01-12,월,0,4,298,10.0
269,20150112,2015-01-12,월,0,5,285,10.0
270,20150112,2015-01-12,월,0,6,224,10.0
