,Unnamed: 0,DateTime,Day,Holiday,Seq,Watt,Temp
0,0,2013년 1월 1일 - 0시,화,O,0,2495,10.0
1,1,2013년 1월 1일 - 1시,화,O,1,2482,9.0
2,2,2013년 1월 1일 - 2시,화,O,2,2441,8.5
3,3,2013년 1월 1일 - 3시,화,O,3,265,8.0
4,4,2013년 1월 1일 - 4시,화,O,4,260,8.0
5,5,2013년 1월 1일 - 5시,화,O,5,260,7.0
6,6,2013년 1월 1일 - 6시,화,O,6,326,6.0
7,7,2013년 1월 1일 - 7시,화,O,7,372,5.5
8,8,2013년 1월 1일 - 8시,화,O,8,4444,5.0
9,9,2013년 1월 1일 - 9시,화,O,9,2691,5.0
10,10,2013년 1월 1일 - 10시,화,O,10,2558,5.5
11,11,2013년 1월 1일 - 11시,화,O,11,779,6.5
12,12,2013년 1월 1일 - 12시,화,O,12,2961,7.0
13,13,2013년 1월 1일 - 13시,화,O,13,529,7.5
14,14,2013년 1월 1일 - 14시,화,O,14,3032,7.5
15,15,2013년 1월 1일 - 15시,화,O,15,2869,7.0
16,16,2013년 1월 1일 - 16시,화,O,16,354,6.5
17,17,2013년 1월 1일 - 17시,화,O,17,2297,6.0
18,18,2013년 1월 1일 - 18시,화,O,18,2184,6.0
19,19,2013년 1월 1일 - 19시,화,O,19,2981,6.0
20,20,2013년 1월 1일 - 20시,화,O,20,729,6.0
21,21,2013년 1월 1일 - 21시,화,O,21,2122,6.0
22,22,2013년 1월 1일 - 22시,화,O,22,543,5.5
23,23,2013년 1월 1일 - 23시,화,O,23,572,5.0
24,24,2013년 1월 2일 - 0시,수,X,0,1913,10.0
25,25,2013년 1월 2일 - 1시,수,X,1,240,9.0
26,26,2013년 1월 2일 - 2시,수,X,2,231,8.5
27,27,2013년 1월 2일 - 3시,수,X,3,307,8.0
28,28,2013년 1월 2일 - 4시,수,X,4,328,8.0
29,29,2013년 1월 2일 - 5시,수,X,5,238,7.0
30,30,2013년 1월 2일 - 6시,수,X,6,1080,6.0
31,31,2013년 1월 2일 - 7시,수,X,7,345,5.5
32,32,2013년 1월 2일 - 8시,수,X,8,2728,5.0
33,33,2013년 1월 2일 - 9시,수,X,9,551,5.0
34,34,2013년 1월 2일 - 10시,수,X,10,569,5.5
35,35,2013년 1월 2일 - 11시,수,X,11,3304,6.5
36,36,2013년 1월 2일 - 12시,수,X,12,2945,7.0
37,37,2013년 1월 2일 - 13시,수,X,13,2911,7.5
38,38,2013년 1월 2일 - 14시,수,X,14,3145,7.5
39,39,2013년 1월 2일 - 15시,수,X,15,1109,7.0
40,40,2013년 1월 2일 - 16시,수,X,16,3083,6.5
41,41,2013년 1월 2일 - 17시,수,X,17,726,6.0
42,42,2013년 1월 2일 - 18시,수,X,18,2214,6.0
43,43,2013년 1월 2일 - 19시,수,X,19,778,6.0
44,44,2013년 1월 2일 - 20시,수,X,20,951,6.0
45,45,2013년 1월 2일 - 21시,수,X,21,917,6.0
46,46,2013년 1월 2일 - 22시,수,X,22,710,5.5
47,47,2013년 1월 2일 - 23시,수,X,23,326,5.0
48,48,2013년 1월 3일 - 0시,목,X,0,422,10.0
49,49,2013년 1월 3일 - 1시,목,X,1,959,9.0
50,50,2013년 1월 3일 - 2시,목,X,2,796,8.5
