,Year-Month-Date,Time,Holiday,Watt,Temp('C),Humidity(%),CPI
0,2015-12-01,[ 00:00 ],0,375,11.0,94.0,0.2
1,2015-12-01,[ 00:01 ],0,371,10.967,94.0,0.2
2,2015-12-01,[ 00:02 ],0,371,10.933,94.0,0.2
3,2015-12-01,[ 00:03 ],0,169,10.9,94.0,0.2
4,2015-12-01,[ 00:04 ],0,168,10.867,94.0,0.2
5,2015-12-01,[ 00:05 ],0,168,10.833,94.0,0.2
6,2015-12-01,[ 00:06 ],0,168,10.8,94.0,0.2
7,2015-12-01,[ 00:07 ],0,166,10.767,94.0,0.2
8,2015-12-01,[ 00:08 ],0,165,10.733,94.0,0.2
9,2015-12-01,[ 00:09 ],0,166,10.7,94.0,0.2
10,2015-12-01,[ 00:10 ],0,166,10.667,94.0,0.2
11,2015-12-01,[ 00:11 ],0,166,10.633,94.0,0.2
12,2015-12-01,[ 00:12 ],0,165,10.6,94.0,0.2
13,2015-12-01,[ 00:13 ],0,165,10.567,94.0,0.2
14,2015-12-01,[ 00:14 ],0,163,10.533,94.0,0.2
15,2015-12-01,[ 00:15 ],0,163,10.5,94.0,0.2
16,2015-12-01,[ 00:16 ],0,167,10.467,94.0,0.2
17,2015-12-01,[ 00:17 ],0,278,10.433,94.0,0.2
18,2015-12-01,[ 00:18 ],0,232,10.4,94.0,0.2
19,2015-12-01,[ 00:19 ],0,235,10.367,94.0,0.2
20,2015-12-01,[ 00:20 ],0,241,10.333,94.0,0.2
21,2015-12-01,[ 00:21 ],0,241,10.3,94.0,0.2
22,2015-12-01,[ 00:22 ],0,238,10.267,94.0,0.2
23,2015-12-01,[ 00:23 ],0,238,10.233,94.0,0.2
24,2015-12-01,[ 00:24 ],0,238,10.2,94.0,0.2
25,2015-12-01,[ 00:25 ],0,236,10.167,94.0,0.2
26,2015-12-01,[ 00:26 ],0,234,10.133,94.0,0.2
27,2015-12-01,[ 00:27 ],0,229,10.1,94.0,0.2
28,2015-12-01,[ 00:28 ],0,229,10.067,94.0,0.2
29,2015-12-01,[ 00:29 ],0,226,10.0,94.0,0.2
30,2015-12-01,[ 00:30 ],0,227,10.0,94.0,0.2
31,2015-12-01,[ 00:31 ],0,229,10.0,94.0,0.2
32,2015-12-01,[ 00:32 ],0,231,10.0,94.0,0.2
33,2015-12-01,[ 00:33 ],0,228,10.0,94.0,0.2
34,2015-12-01,[ 00:34 ],0,227,10.0,94.0,0.2
35,2015-12-01,[ 00:35 ],0,226,10.0,94.0,0.2
36,2015-12-01,[ 00:36 ],0,227,10.0,94.0,0.2
37,2015-12-01,[ 00:37 ],0,225,10.0,94.0,0.2
38,2015-12-01,[ 00:38 ],0,225,10.0,94.0,0.2
39,2015-12-01,[ 00:39 ],0,222,10.0,94.0,0.2
40,2015-12-01,[ 00:40 ],0,221,10.0,94.0,0.2
41,2015-12-01,[ 00:41 ],0,221,10.0,94.0,0.2
42,2015-12-01,[ 00:42 ],0,218,10.0,94.0,0.2
43,2015-12-01,[ 00:43 ],0,219,10.0,94.0,0.2
44,2015-12-01,[ 00:44 ],0,218,10.0,94.0,0.2
45,2015-12-01,[ 00:45 ],0,221,10.0,94.0,0.2
46,2015-12-01,[ 00:46 ],0,222,10.0,94.0,0.2
47,2015-12-01,[ 00:47 ],0,219,10.0,94.0,0.2
48,2015-12-01,[ 00:48 ],0,219,10.0,94.0,0.2
49,2015-12-01,[ 00:49 ],0,219,10.0,94.0,0.2
50,2015-12-01,[ 00:50 ],0,217,10.0,94.0,0.2
51,2015-12-01,[ 00:51 ],0,218,10.0,94.0,0.2
52,2015-12-01,[ 00:52 ],0,219,10.0,94.0,0.2
53,2015-12-01,[ 00:53 ],0,221,10.0,94.0,0.2
54,2015-12-01,[ 00:54 ],0,224,10.0,94.0,0.2
55,2015-12-01,[ 00:55 ],0,225,10.0,94.0,0.2
56,2015-12-01,[ 00:56 ],0,223,10.0,94.0,0.2
57,2015-12-01,[ 00:57 ],0,222,10.0,94.0,0.2
58,2015-12-01,[ 00:58 ],0,218,10.0,94.0,0.2
59,2015-12-01,[ 00:59 ],0,216,10.0,94.0,0.2
60,2015-12-01,[ 01:00 ],0,221,10.0,94.0,0.2
61,2015-12-01,[ 01:01 ],0,219,10.0,94.0,0.2
62,2015-12-01,[ 01:02 ],0,218,10.0,94.0,0.2
63,2015-12-01,[ 01:03 ],0,218,10.0,94.0,0.2
64,2015-12-01,[ 01:04 ],0,221,10.0,94.0,0.2
65,2015-12-01,[ 01:05 ],0,217,10.0,94.0,0.2
66,2015-12-01,[ 01:06 ],0,218,10.0,94.0,0.2
67,2015-12-01,[ 01:07 ],0,215,10.0,94.0,0.2
68,2015-12-01,[ 01:08 ],0,214,10.0,94.0,0.2
69,2015-12-01,[ 01:09 ],0,214,10.0,94.0,0.2
70,2015-12-01,[ 01:10 ],0,163,10.0,94.0,0.2
71,2015-12-01,[ 01:11 ],0,163,10.0,94.0,0.2
72,2015-12-01,[ 01:12 ],0,163,10.0,94.0,0.2
73,2015-12-01,[ 01:13 ],0,163,10.0,94.0,0.2
74,2015-12-01,[ 01:14 ],0,163,10.0,94.0,0.2
75,2015-12-01,[ 01:15 ],0,161,10.0,94.0,0.2
76,2015-12-01,[ 01:16 ],0,161,10.0,94.0,0.2
77,2015-12-01,[ 01:17 ],0,163,10.0,94.0,0.2
78,2015-12-01,[ 01:18 ],0,162,10.0,94.0,0.2
79,2015-12-01,[ 01:19 ],0,162,10.0,94.0,0.2
80,2015-12-01,[ 01:20 ],0,161,10.0,94.0,0.2
81,2015-12-01,[ 01:21 ],0,163,10.0,94.0,0.2
82,2015-12-01,[ 01:22 ],0,162,10.0,94.0,0.2
83,2015-12-01,[ 01:23 ],0,161,10.0,94.0,0.2
84,2015-12-01,[ 01:24 ],0,161,10.0,94.0,0.2
85,2015-12-01,[ 01:25 ],0,163,10.0,94.0,0.2
86,2015-12-01,[ 01:26 ],0,160,10.0,94.0,0.2
87,2015-12-01,[ 01:27 ],0,160,10.0,94.0,0.2
88,2015-12-01,[ 01:28 ],0,160,10.0,94.0,0.2
89,2015-12-01,[ 01:29 ],0,160,10.0,94.0,0.2
90,2015-12-01,[ 01:30 ],0,163,10.0,94.0,0.2
91,2015-12-01,[ 01:31 ],0,162,10.0,94.0,0.2
92,2015-12-01,[ 01:32 ],0,160,10.0,94.0,0.2
93,2015-12-01,[ 01:33 ],0,160,10.0,94.0,0.2
94,2015-12-01,[ 01:34 ],0,160,10.0,94.0,0.2
95,2015-12-01,[ 01:35 ],0,159,10.0,94.0,0.2
96,2015-12-01,[ 01:36 ],0,160,10.0,94.0,0.2
97,2015-12-01,[ 01:37 ],0,159,10.0,94.0,0.2
98,2015-12-01,[ 01:38 ],0,159,10.0,94.0,0.2
99,2015-12-01,[ 01:39 ],0,161,10.0,94.0,0.2
100,2015-12-01,[ 01:40 ],0,161,10.0,94.0,0.2
101,2015-12-01,[ 01:41 ],0,162,10.0,94.0,0.2
102,2015-12-01,[ 01:42 ],0,161,10.0,94.0,0.2
103,2015-12-01,[ 01:43 ],0,161,10.0,94.0,0.2
104,2015-12-01,[ 01:44 ],0,159,10.0,94.0,0.2
105,2015-12-01,[ 01:45 ],0,165,10.0,94.0,0.2
106,2015-12-01,[ 01:46 ],0,162,10.0,94.0,0.2
107,2015-12-01,[ 01:47 ],0,160,10.0,94.0,0.2
108,2015-12-01,[ 01:48 ],0,163,10.0,94.0,0.2
109,2015-12-01,[ 01:49 ],0,163,10.0,94.0,0.2
110,2015-12-01,[ 01:50 ],0,163,10.0,94.0,0.2
111,2015-12-01,[ 01:51 ],0,163,10.0,94.0,0.2
112,2015-12-01,[ 01:52 ],0,163,10.0,94.0,0.2
113,2015-12-01,[ 01:53 ],0,161,10.0,94.0,0.2
114,2015-12-01,[ 01:54 ],0,163,10.0,94.0,0.2
115,2015-12-01,[ 01:55 ],0,163,10.0,94.0,0.2
116,2015-12-01,[ 01:56 ],0,162,10.0,94.0,0.2
117,2015-12-01,[ 01:57 ],0,162,10.0,94.0,0.2
118,2015-12-01,[ 01:58 ],0,163,10.0,94.0,0.2
119,2015-12-01,[ 01:59 ],0,176,10.0,94.0,0.2
120,2015-12-01,[ 02:00 ],0,179,10.0,94.0,0.2
121,2015-12-01,[ 02:01 ],0,179,10.0,94.0,0.2
122,2015-12-01,[ 02:02 ],0,223,10.0,94.0,0.2
123,2015-12-01,[ 02:03 ],0,254,10.0,94.0,0.2
124,2015-12-01,[ 02:04 ],0,221,10.0,94.0,0.2
125,2015-12-01,[ 02:05 ],0,367,10.0,94.0,0.2
126,2015-12-01,[ 02:06 ],0,367,10.0,94.0,0.2
127,2015-12-01,[ 02:07 ],0,390,10.0,94.0,0.2
128,2015-12-01,[ 02:08 ],0,2523,10.0,94.0,0.2
129,2015-12-01,[ 02:09 ],0,2610,10.0,94.0,0.2
130,2015-12-01,[ 02:10 ],0,2584,10.0,94.0,0.2
131,2015-12-01,[ 02:11 ],0,2628,10.0,94.0,0.2
132,2015-12-01,[ 02:12 ],0,2609,10.0,94.0,0.2
133,2015-12-01,[ 02:13 ],0,2609,10.0,94.0,0.2
134,2015-12-01,[ 02:14 ],0,2665,10.0,94.0,0.2
135,2015-12-01,[ 02:15 ],0,2557,10.0,94.0,0.2
136,2015-12-01,[ 02:16 ],0,2557,10.0,94.0,0.2
137,2015-12-01,[ 02:17 ],0,2491,10.0,94.0,0.2
138,2015-12-01,[ 02:18 ],0,2499,10.0,94.0,0.2
139,2015-12-01,[ 02:19 ],0,2503,10.0,94.0,0.2
140,2015-12-01,[ 02:20 ],0,2487,10.0,94.0,0.2
141,2015-12-01,[ 02:21 ],0,2478,10.0,94.0,0.2
142,2015-12-01,[ 02:22 ],0,2486,10.0,94.0,0.2
143,2015-12-01,[ 02:23 ],0,2484,10.0,94.0,0.2
144,2015-12-01,[ 02:24 ],0,2482,10.0,94.0,0.2
145,2015-12-01,[ 02:25 ],0,2491,10.0,94.0,0.2
146,2015-12-01,[ 02:26 ],0,4433,10.0,94.0,0.2
147,2015-12-01,[ 02:27 ],0,2560,10.0,94.0,0.2
148,2015-12-01,[ 02:28 ],0,2556,10.0,94.0,0.2
149,2015-12-01,[ 02:29 ],0,2548,10.0,94.0,0.2
150,2015-12-01,[ 02:30 ],0,2561,10.0,94.0,0.2
151,2015-12-01,[ 02:31 ],0,2538,9.967,94.2,0.2
152,2015-12-01,[ 02:32 ],0,2561,9.933,94.4,0.2
153,2015-12-01,[ 02:33 ],0,2565,9.9,94.6,0.2
154,2015-12-01,[ 02:34 ],0,2552,9.867,94.8,0.2
155,2015-12-01,[ 02:35 ],0,317,9.833,95.0,0.2
156,2015-12-01,[ 02:36 ],0,304,9.8,95.2,0.2
157,2015-12-01,[ 02:37 ],0,356,9.767,95.4,0.2
158,2015-12-01,[ 02:38 ],0,356,9.733,95.6,0.2
159,2015-12-01,[ 02:39 ],0,302,9.7,95.8,0.2
160,2015-12-01,[ 02:40 ],0,365,9.667,96.0,0.2
161,2015-12-01,[ 02:41 ],0,293,9.633,96.2,0.2
162,2015-12-01,[ 02:42 ],0,293,9.6,96.4,0.2
163,2015-12-01,[ 02:43 ],0,327,9.567,96.6,0.2
164,2015-12-01,[ 02:44 ],0,311,9.533,96.8,0.2
165,2015-12-01,[ 02:45 ],0,378,9.5,97.0,0.2
166,2015-12-01,[ 02:46 ],0,286,9.467,97.2,0.2
167,2015-12-01,[ 02:47 ],0,287,9.433,97.4,0.2
168,2015-12-01,[ 02:48 ],0,371,9.4,97.6,0.2
169,2015-12-01,[ 02:49 ],0,295,9.367,97.8,0.2
170,2015-12-01,[ 02:50 ],0,288,9.333,98.0,0.2
171,2015-12-01,[ 02:51 ],0,289,9.3,98.2,0.2
172,2015-12-01,[ 02:52 ],0,289,9.267,98.4,0.2
173,2015-12-01,[ 02:53 ],0,294,9.233,98.6,0.2
174,2015-12-01,[ 02:54 ],0,294,9.2,98.8,0.2
175,2015-12-01,[ 02:55 ],0,280,9.167,99.0,0.2
176,2015-12-01,[ 02:56 ],0,246,9.133,99.2,0.2
177,2015-12-01,[ 02:57 ],0,256,9.1,99.4,0.2
178,2015-12-01,[ 02:58 ],0,288,9.067,99.6,0.2
179,2015-12-01,[ 02:59 ],0,364,9.0,100.0,0.2
180,2015-12-01,[ 03:00 ],0,406,9.0,100.0,0.2
181,2015-12-01,[ 03:01 ],0,370,9.033,99.8,0.2
182,2015-12-01,[ 03:02 ],0,367,9.067,99.6,0.2
183,2015-12-01,[ 03:03 ],0,275,9.1,99.4,0.2
184,2015-12-01,[ 03:04 ],0,212,9.133,99.2,0.2
185,2015-12-01,[ 03:05 ],0,205,9.167,99.0,0.2
186,2015-12-01,[ 03:06 ],0,201,9.2,98.8,0.2
187,2015-12-01,[ 03:07 ],0,257,9.233,98.6,0.2
188,2015-12-01,[ 03:08 ],0,249,9.267,98.4,0.2
189,2015-12-01,[ 03:09 ],0,383,9.3,98.2,0.2
190,2015-12-01,[ 03:10 ],0,422,9.333,98.0,0.2
191,2015-12-01,[ 03:11 ],0,400,9.367,97.8,0.2
192,2015-12-01,[ 03:12 ],0,402,9.4,97.6,0.2
193,2015-12-01,[ 03:13 ],0,178,9.433,97.4,0.2
194,2015-12-01,[ 03:14 ],0,194,9.467,97.2,0.2
195,2015-12-01,[ 03:15 ],0,194,9.5,97.0,0.2
196,2015-12-01,[ 03:16 ],0,192,9.533,96.8,0.2
197,2015-12-01,[ 03:17 ],0,250,9.567,96.6,0.2
198,2015-12-01,[ 03:18 ],0,260,9.6,96.4,0.2
199,2015-12-01,[ 03:19 ],0,312,9.633,96.2,0.2
200,2015-12-01,[ 03:20 ],0,385,9.667,96.0,0.2
201,2015-12-01,[ 03:21 ],0,412,9.7,95.8,0.2
202,2015-12-01,[ 03:22 ],0,499,9.733,95.6,0.2
203,2015-12-01,[ 03:23 ],0,499,9.767,95.4,0.2
204,2015-12-01,[ 03:24 ],0,472,9.8,95.2,0.2
205,2015-12-01,[ 03:25 ],0,445,9.833,95.0,0.2
206,2015-12-01,[ 03:26 ],0,487,9.867,94.8,0.2
207,2015-12-01,[ 03:27 ],0,556,9.9,94.6,0.2
208,2015-12-01,[ 03:28 ],0,537,9.933,94.4,0.2
209,2015-12-01,[ 03:29 ],0,176,10.0,94.0,0.2
210,2015-12-01,[ 03:30 ],0,194,10.0,94.0,0.2
211,2015-12-01,[ 03:31 ],0,174,10.0,94.0,0.2
212,2015-12-01,[ 03:32 ],0,171,10.0,94.0,0.2
213,2015-12-01,[ 03:33 ],0,163,10.0,94.0,0.2
214,2015-12-01,[ 03:34 ],0,159,10.0,94.0,0.2
215,2015-12-01,[ 03:35 ],0,160,10.0,94.0,0.2
216,2015-12-01,[ 03:36 ],0,160,10.0,94.0,0.2
217,2015-12-01,[ 03:37 ],0,159,10.0,94.0,0.2
218,2015-12-01,[ 03:38 ],0,160,10.0,94.0,0.2
219,2015-12-01,[ 03:39 ],0,170,10.0,94.0,0.2
220,2015-12-01,[ 03:40 ],0,167,10.0,94.0,0.2
221,2015-12-01,[ 03:41 ],0,160,10.0,94.0,0.2
222,2015-12-01,[ 03:42 ],0,228,10.0,94.0,0.2
223,2015-12-01,[ 03:43 ],0,217,10.0,94.0,0.2
224,2015-12-01,[ 03:44 ],0,217,10.0,94.0,0.2
225,2015-12-01,[ 03:45 ],0,219,10.0,94.0,0.2
226,2015-12-01,[ 03:46 ],0,218,10.0,94.0,0.2
227,2015-12-01,[ 03:47 ],0,218,10.0,94.0,0.2
228,2015-12-01,[ 03:48 ],0,219,10.0,94.0,0.2
229,2015-12-01,[ 03:49 ],0,217,10.0,94.0,0.2
230,2015-12-01,[ 03:50 ],0,217,10.0,94.0,0.2
231,2015-12-01,[ 03:51 ],0,216,10.0,94.0,0.2
232,2015-12-01,[ 03:52 ],0,215,10.0,94.0,0.2
233,2015-12-01,[ 03:53 ],0,161,10.0,94.0,0.2
234,2015-12-01,[ 03:54 ],0,161,10.0,94.0,0.2
235,2015-12-01,[ 03:55 ],0,161,10.0,94.0,0.2
236,2015-12-01,[ 03:56 ],0,161,10.0,94.0,0.2
237,2015-12-01,[ 03:57 ],0,160,10.0,94.0,0.2
238,2015-12-01,[ 03:58 ],0,161,10.0,94.0,0.2
239,2015-12-01,[ 03:59 ],0,162,10.0,94.0,0.2
240,2015-12-01,[ 04:00 ],0,163,10.0,94.0,0.2
241,2015-12-01,[ 04:01 ],0,165,10.0,94.0,0.2
242,2015-12-01,[ 04:02 ],0,163,10.0,94.0,0.2
243,2015-12-01,[ 04:03 ],0,163,10.0,94.0,0.2
244,2015-12-01,[ 04:04 ],0,163,10.0,94.0,0.2
245,2015-12-01,[ 04:05 ],0,163,10.0,94.0,0.2
246,2015-12-01,[ 04:06 ],0,161,10.0,94.0,0.2
247,2015-12-01,[ 04:07 ],0,162,10.0,94.0,0.2
248,2015-12-01,[ 04:08 ],0,162,10.0,94.0,0.2
249,2015-12-01,[ 04:09 ],0,161,10.0,94.0,0.2
250,2015-12-01,[ 04:10 ],0,162,10.0,94.0,0.2
251,2015-12-01,[ 04:11 ],0,162,10.0,94.0,0.2
252,2015-12-01,[ 04:12 ],0,161,10.0,94.0,0.2
253,2015-12-01,[ 04:13 ],0,160,10.0,94.0,0.2
254,2015-12-01,[ 04:14 ],0,160,10.0,94.0,0.2
255,2015-12-01,[ 04:15 ],0,160,10.0,94.0,0.2
256,2015-12-01,[ 04:16 ],0,162,10.0,94.0,0.2
257,2015-12-01,[ 04:17 ],0,162,10.0,94.0,0.2
258,2015-12-01,[ 04:18 ],0,161,10.0,94.0,0.2
259,2015-12-01,[ 04:19 ],0,161,10.0,94.0,0.2
260,2015-12-01,[ 04:20 ],0,160,10.0,94.0,0.2
261,2015-12-01,[ 04:21 ],0,161,10.0,94.0,0.2
262,2015-12-01,[ 04:22 ],0,160,10.0,94.0,0.2
263,2015-12-01,[ 04:23 ],0,160,10.0,94.0,0.2
264,2015-12-01,[ 04:24 ],0,161,10.0,94.0,0.2
265,2015-12-01,[ 04:25 ],0,160,10.0,94.0,0.2
266,2015-12-01,[ 04:26 ],0,228,10.0,94.0,0.2
267,2015-12-01,[ 04:27 ],0,228,10.0,94.0,0.2
268,2015-12-01,[ 04:28 ],0,216,10.0,94.0,0.2
269,2015-12-01,[ 04:29 ],0,216,10.0,94.0,0.2
270,2015-12-01,[ 04:30 ],0,221,10.0,94.0,0.2
271,2015-12-01,[ 04:31 ],0,219,10.0,94.0,0.2
272,2015-12-01,[ 04:32 ],0,221,10.0,94.0,0.2
273,2015-12-01,[ 04:33 ],0,221,10.0,94.0,0.2
274,2015-12-01,[ 04:34 ],0,219,10.0,94.0,0.2
275,2015-12-01,[ 04:35 ],0,218,10.0,94.0,0.2
276,2015-12-01,[ 04:36 ],0,215,10.0,94.0,0.2
277,2015-12-01,[ 04:37 ],0,216,10.0,94.0,0.2
278,2015-12-01,[ 04:38 ],0,214,10.0,94.0,0.2
279,2015-12-01,[ 04:39 ],0,215,10.0,94.0,0.2
280,2015-12-01,[ 04:40 ],0,216,10.0,94.0,0.2
281,2015-12-01,[ 04:41 ],0,215,10.0,94.0,0.2
282,2015-12-01,[ 04:42 ],0,216,10.0,94.0,0.2
283,2015-12-01,[ 04:43 ],0,216,10.0,94.0,0.2
284,2015-12-01,[ 04:44 ],0,217,10.0,94.0,0.2
285,2015-12-01,[ 04:45 ],0,217,10.0,94.0,0.2
286,2015-12-01,[ 04:46 ],0,216,10.0,94.0,0.2
287,2015-12-01,[ 04:47 ],0,218,10.0,94.0,0.2
288,2015-12-01,[ 04:48 ],0,216,10.0,94.0,0.2
289,2015-12-01,[ 04:49 ],0,218,10.0,94.0,0.2
290,2015-12-01,[ 04:50 ],0,224,10.0,94.0,0.2
291,2015-12-01,[ 04:51 ],0,222,10.0,94.0,0.2
292,2015-12-01,[ 04:52 ],0,221,10.0,94.0,0.2
293,2015-12-01,[ 04:53 ],0,221,10.0,94.0,0.2
294,2015-12-01,[ 04:54 ],0,217,10.0,94.0,0.2
295,2015-12-01,[ 04:55 ],0,216,10.0,94.0,0.2
296,2015-12-01,[ 04:56 ],0,217,10.0,94.0,0.2
297,2015-12-01,[ 04:57 ],0,217,10.0,94.0,0.2
298,2015-12-01,[ 04:58 ],0,217,10.0,94.0,0.2
299,2015-12-01,[ 04:59 ],0,161,10.0,94.0,0.2
300,2015-12-01,[ 05:00 ],0,163,10.0,94.0,0.2
301,2015-12-01,[ 05:01 ],0,163,10.0,94.2,0.2
302,2015-12-01,[ 05:02 ],0,163,10.0,94.4,0.2
303,2015-12-01,[ 05:03 ],0,162,10.0,94.6,0.2
304,2015-12-01,[ 05:04 ],0,163,10.0,94.8,0.2
305,2015-12-01,[ 05:05 ],0,162,10.0,95.0,0.2
306,2015-12-01,[ 05:06 ],0,165,10.0,95.2,0.2
307,2015-12-01,[ 05:07 ],0,165,10.0,95.4,0.2
308,2015-12-01,[ 05:08 ],0,165,10.0,95.6,0.2
309,2015-12-01,[ 05:09 ],0,161,10.0,95.8,0.2
310,2015-12-01,[ 05:10 ],0,161,10.0,96.0,0.2
311,2015-12-01,[ 05:11 ],0,160,10.0,96.2,0.2
312,2015-12-01,[ 05:12 ],0,160,10.0,96.4,0.2
313,2015-12-01,[ 05:13 ],0,160,10.0,96.6,0.2
314,2015-12-01,[ 05:14 ],0,162,10.0,96.8,0.2
315,2015-12-01,[ 05:15 ],0,162,10.0,97.0,0.2
316,2015-12-01,[ 05:16 ],0,161,10.0,97.2,0.2
317,2015-12-01,[ 05:17 ],0,165,10.0,97.4,0.2
318,2015-12-01,[ 05:18 ],0,165,10.0,97.6,0.2
319,2015-12-01,[ 05:19 ],0,163,10.0,97.8,0.2
320,2015-12-01,[ 05:20 ],0,162,10.0,98.0,0.2
321,2015-12-01,[ 05:21 ],0,162,10.0,98.2,0.2
322,2015-12-01,[ 05:22 ],0,163,10.0,98.4,0.2
323,2015-12-01,[ 05:23 ],0,163,10.0,98.6,0.2
324,2015-12-01,[ 05:24 ],0,176,10.0,98.8,0.2
325,2015-12-01,[ 05:25 ],0,169,10.0,99.0,0.2
326,2015-12-01,[ 05:26 ],0,171,10.0,99.2,0.2
327,2015-12-01,[ 05:27 ],0,171,10.0,99.4,0.2
328,2015-12-01,[ 05:28 ],0,171,10.0,99.6,0.2
329,2015-12-01,[ 05:29 ],0,165,10.0,100.0,0.2
330,2015-12-01,[ 05:30 ],0,163,10.0,100.0,0.2
331,2015-12-01,[ 05:31 ],0,219,10.1,99.8,0.2
332,2015-12-01,[ 05:32 ],0,213,10.2,99.6,0.2
333,2015-12-01,[ 05:33 ],0,221,10.3,99.4,0.2
334,2015-12-01,[ 05:34 ],0,236,10.4,99.2,0.2
