,Year-Month-Date,Time,Holiday,Watt
0,2014-01-01,[ 00:00 ],1,570
1,2014-01-01,[ 00:01 ],1,603
2,2014-01-01,[ 00:02 ],1,579
3,2014-01-01,[ 00:03 ],1,576
4,2014-01-01,[ 00:04 ],1,602
5,2014-01-01,[ 00:05 ],1,588
6,2014-01-01,[ 00:06 ],1,578
7,2014-01-01,[ 00:07 ],1,586
8,2014-01-01,[ 00:08 ],1,583
9,2014-01-01,[ 00:09 ],1,581
10,2014-01-01,[ 00:10 ],1,603
11,2014-01-01,[ 00:11 ],1,570
12,2014-01-01,[ 00:12 ],1,578
13,2014-01-01,[ 00:13 ],1,576
14,2014-01-01,[ 00:14 ],1,602
15,2014-01-01,[ 00:15 ],1,596
16,2014-01-01,[ 00:16 ],1,596
17,2014-01-01,[ 00:17 ],1,592
18,2014-01-01,[ 00:18 ],1,586
19,2014-01-01,[ 00:19 ],1,581
20,2014-01-01,[ 00:20 ],1,594
21,2014-01-01,[ 00:21 ],1,589
22,2014-01-01,[ 00:22 ],1,588
23,2014-01-01,[ 00:23 ],1,590
24,2014-01-01,[ 00:24 ],1,599
25,2014-01-01,[ 00:25 ],1,594
26,2014-01-01,[ 00:26 ],1,577
27,2014-01-01,[ 00:27 ],1,570
28,2014-01-01,[ 00:28 ],1,581
29,2014-01-01,[ 00:29 ],1,568
30,2014-01-01,[ 00:30 ],1,575
31,2014-01-01,[ 00:31 ],1,592
32,2014-01-01,[ 00:32 ],1,586
33,2014-01-01,[ 00:33 ],1,574
34,2014-01-01,[ 00:34 ],1,471
35,2014-01-01,[ 00:35 ],1,472
36,2014-01-01,[ 00:36 ],1,475
37,2014-01-01,[ 00:37 ],1,475
38,2014-01-01,[ 00:38 ],1,401
39,2014-01-01,[ 00:39 ],1,404
40,2014-01-01,[ 00:40 ],1,404
41,2014-01-01,[ 00:41 ],1,401
42,2014-01-01,[ 00:42 ],1,621
43,2014-01-01,[ 00:43 ],1,625
44,2014-01-01,[ 00:44 ],1,631
45,2014-01-01,[ 00:45 ],1,629
46,2014-01-01,[ 00:46 ],1,631
47,2014-01-01,[ 00:47 ],1,629
48,2014-01-01,[ 00:48 ],1,632
49,2014-01-01,[ 00:49 ],1,625
50,2014-01-01,[ 00:50 ],1,631
51,2014-01-01,[ 00:51 ],1,625
52,2014-01-01,[ 00:52 ],1,627
53,2014-01-01,[ 00:53 ],1,632
54,2014-01-01,[ 00:54 ],1,653
55,2014-01-01,[ 00:55 ],1,656
56,2014-01-01,[ 00:56 ],1,415
57,2014-01-01,[ 00:57 ],1,420
58,2014-01-01,[ 00:58 ],1,426
59,2014-01-01,[ 00:59 ],1,424
60,2014-01-01,[ 01:00 ],1,426
61,2014-01-01,[ 01:01 ],1,427
62,2014-01-01,[ 01:02 ],1,403
63,2014-01-01,[ 01:03 ],1,403
