,DateTime,Day,Holiday,Seq,Watt
0,2013년 9월 1일 - 0시,일,O,0,236
1,2013년 9월 1일 - 1시,일,O,1,218
2,2013년 9월 1일 - 2시,일,O,2,229
3,2013년 9월 1일 - 3시,일,O,3,215
4,2013년 9월 1일 - 4시,일,O,4,227
5,2013년 9월 1일 - 5시,일,O,5,238
6,2013년 9월 1일 - 6시,일,O,6,228
7,2013년 9월 1일 - 7시,일,O,7,2587
8,2013년 9월 1일 - 8시,일,O,8,1978
9,2013년 9월 1일 - 9시,일,O,9,961
10,2013년 9월 1일 - 10시,일,O,10,260
11,2013년 9월 1일 - 11시,일,O,11,257
12,2013년 9월 1일 - 12시,일,O,12,401
13,2013년 9월 1일 - 13시,일,O,13,2628
14,2013년 9월 1일 - 14시,일,O,14,363
15,2013년 9월 1일 - 15시,일,O,15,254
16,2013년 9월 1일 - 16시,일,O,16,2659
17,2013년 9월 1일 - 17시,일,O,17,2011
18,2013년 9월 1일 - 18시,일,O,18,931
19,2013년 9월 1일 - 19시,일,O,19,584
20,2013년 9월 1일 - 20시,일,O,20,488
21,2013년 9월 1일 - 21시,일,O,21,2721
22,2013년 9월 1일 - 22시,일,O,22,2673
23,2013년 9월 1일 - 23시,일,O,23,308
24,2013년 9월 2일 - 0시,월,X,0,236
25,2013년 9월 2일 - 1시,월,X,1,232
26,2013년 9월 2일 - 2시,월,X,2,234
27,2013년 9월 2일 - 3시,월,X,3,375
28,2013년 9월 2일 - 4시,월,X,4,231
29,2013년 9월 2일 - 5시,월,X,5,235
30,2013년 9월 2일 - 6시,월,X,6,4310
31,2013년 9월 2일 - 7시,월,X,7,2065
32,2013년 9월 2일 - 8시,월,X,8,2464
33,2013년 9월 2일 - 9시,월,X,9,1119
34,2013년 9월 2일 - 10시,월,X,10,423
35,2013년 9월 2일 - 11시,월,X,11,3000
36,2013년 9월 2일 - 12시,월,X,12,2803
37,2013년 9월 2일 - 13시,월,X,13,443
38,2013년 9월 2일 - 14시,월,X,14,450
39,2013년 9월 2일 - 15시,월,X,15,2883
40,2013년 9월 2일 - 16시,월,X,16,1970
41,2013년 9월 2일 - 17시,월,X,17,2640
42,2013년 9월 2일 - 18시,월,X,18,775
43,2013년 9월 2일 - 19시,월,X,19,2270
44,2013년 9월 2일 - 20시,월,X,20,496
45,2013년 9월 2일 - 21시,월,X,21,439
46,2013년 9월 2일 - 22시,월,X,22,224
47,2013년 9월 2일 - 23시,월,X,23,219
48,2013년 9월 3일 - 0시,화,X,0,219
49,2013년 9월 3일 - 1시,화,X,1,222
50,2013년 9월 3일 - 2시,화,X,2,224
51,2013년 9월 3일 - 3시,화,X,3,223
52,2013년 9월 3일 - 4시,화,X,4,275
53,2013년 9월 3일 - 5시,화,X,5,224
54,2013년 9월 3일 - 6시,화,X,6,3795
55,2013년 9월 3일 - 7시,화,X,7,1962
56,2013년 9월 3일 - 8시,화,X,8,533
57,2013년 9월 3일 - 9시,화,X,9,409
58,2013년 9월 3일 - 10시,화,X,10,346
59,2013년 9월 3일 - 11시,화,X,11,1980
60,2013년 9월 3일 - 12시,화,X,12,258
61,2013년 9월 3일 - 13시,화,X,13,251
62,2013년 9월 3일 - 14시,화,X,14,2690
63,2013년 9월 3일 - 15시,화,X,15,1866
64,2013년 9월 3일 - 16시,화,X,16,1971
65,2013년 9월 3일 - 17시,화,X,17,2636
66,2013년 9월 3일 - 18시,화,X,18,2166
67,2013년 9월 3일 - 19시,화,X,19,551
68,2013년 9월 3일 - 20시,화,X,20,569
69,2013년 9월 3일 - 21시,화,X,21,519
70,2013년 9월 3일 - 22시,화,X,22,299
71,2013년 9월 3일 - 23시,화,X,23,448
72,2013년 9월 4일 - 0시,수,X,0,332
73,2013년 9월 4일 - 1시,수,X,1,289
74,2013년 9월 4일 - 2시,수,X,2,291
75,2013년 9월 4일 - 3시,수,X,3,973
76,2013년 9월 4일 - 4시,수,X,4,727
77,2013년 9월 4일 - 5시,수,X,5,2694
78,2013년 9월 4일 - 6시,수,X,6,4699
79,2013년 9월 4일 - 7시,수,X,7,2368
80,2013년 9월 4일 - 8시,수,X,8,2851
81,2013년 9월 4일 - 9시,수,X,9,1845
82,2013년 9월 4일 - 10시,수,X,10,293
83,2013년 9월 4일 - 11시,수,X,11,2769
84,2013년 9월 4일 - 12시,수,X,12,1909
85,2013년 9월 4일 - 13시,수,X,13,463
86,2013년 9월 4일 - 14시,수,X,14,418
87,2013년 9월 4일 - 15시,수,X,15,270
88,2013년 9월 4일 - 16시,수,X,16,2599
89,2013년 9월 4일 - 17시,수,X,17,1976
90,2013년 9월 4일 - 18시,수,X,18,700
91,2013년 9월 4일 - 19시,수,X,19,577
92,2013년 9월 4일 - 20시,수,X,20,2132
93,2013년 9월 4일 - 21시,수,X,21,2575
94,2013년 9월 4일 - 22시,수,X,22,2655
95,2013년 9월 4일 - 23시,수,X,23,2612
96,2013년 9월 5일 - 0시,목,X,0,234
97,2013년 9월 5일 - 1시,목,X,1,221
98,2013년 9월 5일 - 2시,목,X,2,222
99,2013년 9월 5일 - 3시,목,X,3,226
100,2013년 9월 5일 - 4시,목,X,4,358
101,2013년 9월 5일 - 5시,목,X,5,364
102,2013년 9월 5일 - 6시,목,X,6,2564
103,2013년 9월 5일 - 7시,목,X,7,3654
104,2013년 9월 5일 - 8시,목,X,8,214
105,2013년 9월 5일 - 9시,목,X,9,260
106,2013년 9월 5일 - 10시,목,X,10,962
107,2013년 9월 5일 - 11시,목,X,11,2595
108,2013년 9월 5일 - 12시,목,X,12,274
109,2013년 9월 5일 - 13시,목,X,13,3709
110,2013년 9월 5일 - 14시,목,X,14,252
111,2013년 9월 5일 - 15시,목,X,15,2715
112,2013년 9월 5일 - 16시,목,X,16,394
113,2013년 9월 5일 - 17시,목,X,17,2575
114,2013년 9월 5일 - 18시,목,X,18,618
115,2013년 9월 5일 - 19시,목,X,19,645
116,2013년 9월 5일 - 20시,목,X,20,867
117,2013년 9월 5일 - 21시,목,X,21,425
118,2013년 9월 5일 - 22시,목,X,22,294
119,2013년 9월 5일 - 23시,목,X,23,289
120,2013년 9월 6일 - 0시,금,X,0,288
121,2013년 9월 6일 - 1시,금,X,1,283
122,2013년 9월 6일 - 2시,금,X,2,289
123,2013년 9월 6일 - 3시,금,X,3,291
124,2013년 9월 6일 - 4시,금,X,4,357
125,2013년 9월 6일 - 5시,금,X,5,820
126,2013년 9월 6일 - 6시,금,X,6,2735
127,2013년 9월 6일 - 7시,금,X,7,2029
128,2013년 9월 6일 - 8시,금,X,8,450
129,2013년 9월 6일 - 9시,금,X,9,2641
130,2013년 9월 6일 - 10시,금,X,10,1888
131,2013년 9월 6일 - 11시,금,X,11,367
132,2013년 9월 6일 - 12시,금,X,12,2787
133,2013년 9월 6일 - 13시,금,X,13,839
134,2013년 9월 6일 - 14시,금,X,14,455
135,2013년 9월 6일 - 15시,금,X,15,468
136,2013년 9월 6일 - 16시,금,X,16,4426
137,2013년 9월 6일 - 17시,금,X,17,2787
138,2013년 9월 6일 - 18시,금,X,18,2108
139,2013년 9월 6일 - 19시,금,X,19,1980
140,2013년 9월 6일 - 20시,금,X,20,4276
141,2013년 9월 6일 - 21시,금,X,21,2664
142,2013년 9월 6일 - 22시,금,X,22,432
143,2013년 9월 6일 - 23시,금,X,23,249
144,2013년 9월 7일 - 0시,토,O,0,787
145,2013년 9월 7일 - 1시,토,O,1,369
146,2013년 9월 7일 - 2시,토,O,2,304
147,2013년 9월 7일 - 3시,토,O,3,685
148,2013년 9월 7일 - 4시,토,O,4,768
149,2013년 9월 7일 - 5시,토,O,5,770
150,2013년 9월 7일 - 6시,토,O,6,766
151,2013년 9월 7일 - 7시,토,O,7,2661
152,2013년 9월 7일 - 8시,토,O,8,1976
153,2013년 9월 7일 - 9시,토,O,9,2658
154,2013년 9월 7일 - 10시,토,O,10,2596
155,2013년 9월 7일 - 11시,토,O,11,2605
156,2013년 9월 7일 - 12시,토,O,12,2488
157,2013년 9월 7일 - 13시,토,O,13,2457
158,2013년 9월 7일 - 14시,토,O,14,1650
159,2013년 9월 7일 - 15시,토,O,15,256
160,2013년 9월 7일 - 16시,토,O,16,467
161,2013년 9월 7일 - 17시,토,O,17,2800
162,2013년 9월 7일 - 18시,토,O,18,2017
163,2013년 9월 7일 - 19시,토,O,19,3015
164,2013년 9월 7일 - 20시,토,O,20,534
165,2013년 9월 7일 - 21시,토,O,21,496
166,2013년 9월 7일 - 22시,토,O,22,399
167,2013년 9월 7일 - 23시,토,O,23,239
168,2013년 9월 8일 - 0시,일,O,0,226
169,2013년 9월 8일 - 1시,일,O,1,238
170,2013년 9월 8일 - 2시,일,O,2,236
171,2013년 9월 8일 - 3시,일,O,3,235
172,2013년 9월 8일 - 4시,일,O,4,237
173,2013년 9월 8일 - 5시,일,O,5,1017
174,2013년 9월 8일 - 6시,일,O,6,358
175,2013년 9월 8일 - 7시,일,O,7,3714
176,2013년 9월 8일 - 8시,일,O,8,269
177,2013년 9월 8일 - 9시,일,O,9,293
178,2013년 9월 8일 - 10시,일,O,10,2579
179,2013년 9월 8일 - 11시,일,O,11,266
180,2013년 9월 8일 - 12시,일,O,12,518
181,2013년 9월 8일 - 13시,일,O,13,2827
182,2013년 9월 8일 - 14시,일,O,14,485
183,2013년 9월 8일 - 15시,일,O,15,4477
184,2013년 9월 8일 - 16시,일,O,16,282
185,2013년 9월 8일 - 17시,일,O,17,2608
186,2013년 9월 8일 - 18시,일,O,18,2038
187,2013년 9월 8일 - 19시,일,O,19,506
188,2013년 9월 8일 - 20시,일,O,20,498
189,2013년 9월 8일 - 21시,일,O,21,640
190,2013년 9월 8일 - 22시,일,O,22,300
191,2013년 9월 8일 - 23시,일,O,23,288
192,2013년 9월 9일 - 0시,월,X,0,324
193,2013년 9월 9일 - 1시,월,X,1,216
194,2013년 9월 9일 - 2시,월,X,2,364
195,2013년 9월 9일 - 3시,월,X,3,224
196,2013년 9월 9일 - 4시,월,X,4,755
197,2013년 9월 9일 - 5시,월,X,5,840
198,2013년 9월 9일 - 6시,월,X,6,2657
199,2013년 9월 9일 - 7시,월,X,7,1928
200,2013년 9월 9일 - 8시,월,X,8,2852
201,2013년 9월 9일 - 9시,월,X,9,271
202,2013년 9월 9일 - 10시,월,X,10,875
203,2013년 9월 9일 - 11시,월,X,11,345
204,2013년 9월 9일 - 12시,월,X,12,4240
205,2013년 9월 9일 - 13시,월,X,13,2743
206,2013년 9월 9일 - 14시,월,X,14,1771
207,2013년 9월 9일 - 15시,월,X,15,242
208,2013년 9월 9일 - 16시,월,X,16,2893
209,2013년 9월 9일 - 17시,월,X,17,4600
210,2013년 9월 9일 - 18시,월,X,18,960
211,2013년 9월 9일 - 19시,월,X,19,723
212,2013년 9월 9일 - 20시,월,X,20,597
213,2013년 9월 9일 - 21시,월,X,21,564
214,2013년 9월 9일 - 22시,월,X,22,351
215,2013년 9월 9일 - 23시,월,X,23,342
216,2013년 9월 10일 - 0시,화,X,0,281
217,2013년 9월 10일 - 1시,화,X,1,280
218,2013년 9월 10일 - 2시,화,X,2,275
219,2013년 9월 10일 - 3시,화,X,3,417
220,2013년 9월 10일 - 4시,화,X,4,278
221,2013년 9월 10일 - 5시,화,X,5,401
222,2013년 9월 10일 - 6시,화,X,6,3786
223,2013년 9월 10일 - 7시,화,X,7,1976
224,2013년 9월 10일 - 8시,화,X,8,386
225,2013년 9월 10일 - 9시,화,X,9,2890
226,2013년 9월 10일 - 10시,화,X,10,392
227,2013년 9월 10일 - 11시,화,X,11,3748
228,2013년 9월 10일 - 12시,화,X,12,2665
229,2013년 9월 10일 - 13시,화,X,13,2867
230,2013년 9월 10일 - 14시,화,X,14,2855
231,2013년 9월 10일 - 15시,화,X,15,1787
232,2013년 9월 10일 - 16시,화,X,16,2715
233,2013년 9월 10일 - 17시,화,X,17,2058
234,2013년 9월 10일 - 18시,화,X,18,375
235,2013년 9월 10일 - 19시,화,X,19,2286
236,2013년 9월 10일 - 20시,화,X,20,526
237,2013년 9월 10일 - 21시,화,X,21,2750
238,2013년 9월 10일 - 22시,화,X,22,2715
239,2013년 9월 10일 - 23시,화,X,23,273
240,2013년 9월 11일 - 0시,수,X,0,275
241,2013년 9월 11일 - 1시,수,X,1,294
242,2013년 9월 11일 - 2시,수,X,2,297
243,2013년 9월 11일 - 3시,수,X,3,218
244,2013년 9월 11일 - 4시,수,X,4,221
245,2013년 9월 11일 - 5시,수,X,5,5260
246,2013년 9월 11일 - 6시,수,X,6,2711
247,2013년 9월 11일 - 7시,수,X,7,375
248,2013년 9월 11일 - 8시,수,X,8,379
249,2013년 9월 11일 - 9시,수,X,9,271
250,2013년 9월 11일 - 10시,수,X,10,261
251,2013년 9월 11일 - 11시,수,X,11,269
252,2013년 9월 11일 - 12시,수,X,12,237
253,2013년 9월 11일 - 13시,수,X,13,239
254,2013년 9월 11일 - 14시,수,X,14,237
255,2013년 9월 11일 - 15시,수,X,15,246
256,2013년 9월 11일 - 16시,수,X,16,4576
257,2013년 9월 11일 - 17시,수,X,17,402
258,2013년 9월 11일 - 18시,수,X,18,522
259,2013년 9월 11일 - 19시,수,X,19,2928
260,2013년 9월 11일 - 20시,수,X,20,1476
261,2013년 9월 11일 - 21시,수,X,21,516
262,2013년 9월 11일 - 22시,수,X,22,236
263,2013년 9월 11일 - 23시,수,X,23,380
264,2013년 9월 12일 - 0시,목,X,0,236
265,2013년 9월 12일 - 1시,목,X,1,248
266,2013년 9월 12일 - 2시,목,X,2,238
267,2013년 9월 12일 - 3시,목,X,3,261
268,2013년 9월 12일 - 4시,목,X,4,232
269,2013년 9월 12일 - 5시,목,X,5,267
270,2013년 9월 12일 - 6시,목,X,6,301
271,2013년 9월 12일 - 7시,목,X,7,2671
272,2013년 9월 12일 - 8시,목,X,8,1974
273,2013년 9월 12일 - 9시,목,X,9,280
274,2013년 9월 12일 - 10시,목,X,10,438
275,2013년 9월 12일 - 11시,목,X,11,444
276,2013년 9월 12일 - 12시,목,X,12,435
277,2013년 9월 12일 - 13시,목,X,13,379
278,2013년 9월 12일 - 14시,목,X,14,375
279,2013년 9월 12일 - 15시,목,X,15,441
280,2013년 9월 12일 - 16시,목,X,16,308
281,2013년 9월 12일 - 17시,목,X,17,229
282,2013년 9월 12일 - 18시,목,X,18,2654
283,2013년 9월 12일 - 19시,목,X,19,670
284,2013년 9월 12일 - 20시,목,X,20,569
285,2013년 9월 12일 - 21시,목,X,21,433
286,2013년 9월 12일 - 22시,목,X,22,932
287,2013년 9월 12일 - 23시,목,X,23,309
288,2013년 9월 13일 - 0시,금,X,0,899
289,2013년 9월 13일 - 1시,금,X,1,926
290,2013년 9월 13일 - 2시,금,X,2,236
291,2013년 9월 13일 - 3시,금,X,3,258
292,2013년 9월 13일 - 4시,금,X,4,379
293,2013년 9월 13일 - 5시,금,X,5,1268
294,2013년 9월 13일 - 6시,금,X,6,353
295,2013년 9월 13일 - 7시,금,X,7,251
296,2013년 9월 13일 - 8시,금,X,8,2734
297,2013년 9월 13일 - 9시,금,X,9,407
298,2013년 9월 13일 - 10시,금,X,10,348
299,2013년 9월 13일 - 11시,금,X,11,269
300,2013년 9월 13일 - 12시,금,X,12,267
301,2013년 9월 13일 - 13시,금,X,13,258
302,2013년 9월 13일 - 14시,금,X,14,232
303,2013년 9월 13일 - 15시,금,X,15,853
304,2013년 9월 13일 - 16시,금,X,16,304
305,2013년 9월 13일 - 17시,금,X,17,234
306,2013년 9월 13일 - 18시,금,X,18,235
307,2013년 9월 13일 - 19시,금,X,19,3054
308,2013년 9월 13일 - 20시,금,X,20,4607
309,2013년 9월 13일 - 21시,금,X,21,3458
310,2013년 9월 13일 - 22시,금,X,22,690
311,2013년 9월 13일 - 23시,금,X,23,241
312,2013년 9월 14일 - 0시,토,O,0,245
313,2013년 9월 14일 - 1시,토,O,1,322
314,2013년 9월 14일 - 2시,토,O,2,232
315,2013년 9월 14일 - 3시,토,O,3,451
316,2013년 9월 14일 - 4시,토,O,4,232
317,2013년 9월 14일 - 5시,토,O,5,299
318,2013년 9월 14일 - 6시,토,O,6,304
319,2013년 9월 14일 - 7시,토,O,7,2716
320,2013년 9월 14일 - 8시,토,O,8,4594
321,2013년 9월 14일 - 9시,토,O,9,481
322,2013년 9월 14일 - 10시,토,O,10,846
323,2013년 9월 14일 - 11시,토,O,11,2812
324,2013년 9월 14일 - 12시,토,O,12,2892
325,2013년 9월 14일 - 13시,토,O,13,341
326,2013년 9월 14일 - 14시,토,O,14,423
327,2013년 9월 14일 - 15시,토,O,15,2914
328,2013년 9월 14일 - 16시,토,O,16,2719
329,2013년 9월 14일 - 17시,토,O,17,3676
330,2013년 9월 14일 - 18시,토,O,18,2765
331,2013년 9월 14일 - 19시,토,O,19,2379
332,2013년 9월 14일 - 20시,토,O,20,620
333,2013년 9월 14일 - 21시,토,O,21,340
334,2013년 9월 14일 - 22시,토,O,22,250
335,2013년 9월 14일 - 23시,토,O,23,240
336,2013년 9월 15일 - 0시,일,O,0,390
