,DateTime,Seq,Watt
0,2013년 3월 1일 - 0시,0,299
1,2013년 3월 1일 - 1시,1,224
2,2013년 3월 1일 - 2시,2,887
3,2013년 3월 1일 - 3시,3,259
4,2013년 3월 1일 - 4시,4,218
5,2013년 3월 1일 - 5시,5,1057
6,2013년 3월 1일 - 6시,6,295
7,2013년 3월 1일 - 7시,7,270
8,2013년 3월 1일 - 8시,8,4321
9,2013년 3월 1일 - 9시,9,450
10,2013년 3월 1일 - 10시,10,1054
11,2013년 3월 1일 - 11시,11,288
12,2013년 3월 1일 - 12시,12,2660
13,2013년 3월 1일 - 13시,13,2874
14,2013년 3월 1일 - 14시,14,558
15,2013년 3월 1일 - 15시,15,553
16,2013년 3월 1일 - 16시,16,350
17,2013년 3월 1일 - 17시,17,2858
18,2013년 3월 1일 - 18시,18,4144
19,2013년 3월 1일 - 19시,19,352
20,2013년 3월 1일 - 20시,20,1063
21,2013년 3월 1일 - 21시,21,492
22,2013년 3월 1일 - 22시,22,518
23,2013년 3월 1일 - 23시,23,1106
24,2013년 3월 2일 - 0시,0,214
25,2013년 3월 2일 - 1시,1,432
26,2013년 3월 2일 - 2시,2,293
27,2013년 3월 2일 - 3시,3,216
28,2013년 3월 2일 - 4시,4,1129
29,2013년 3월 2일 - 5시,5,665
30,2013년 3월 2일 - 6시,6,290
31,2013년 3월 2일 - 7시,7,2669
32,2013년 3월 2일 - 8시,8,2145
33,2013년 3월 2일 - 9시,9,2712
34,2013년 3월 2일 - 10시,10,2698
35,2013년 3월 2일 - 11시,11,2607
36,2013년 3월 2일 - 12시,12,2457
37,2013년 3월 2일 - 13시,13,420
38,2013년 3월 2일 - 14시,14,2527
39,2013년 3월 2일 - 15시,15,1104
40,2013년 3월 2일 - 16시,16,1247
41,2013년 3월 2일 - 17시,17,2688
42,2013년 3월 2일 - 18시,18,2296
43,2013년 3월 2일 - 19시,19,481
44,2013년 3월 2일 - 20시,20,2280
45,2013년 3월 2일 - 21시,21,2144
46,2013년 3월 2일 - 22시,22,668
47,2013년 3월 2일 - 23시,23,2437
48,2013년 3월 3일 - 0시,0,2435
49,2013년 3월 3일 - 1시,1,2428
50,2013년 3월 3일 - 2시,2,290
51,2013년 3월 3일 - 3시,3,957
52,2013년 3월 3일 - 4시,4,298
53,2013년 3월 3일 - 5시,5,355
54,2013년 3월 3일 - 6시,6,214
55,2013년 3월 3일 - 7시,7,4253
56,2013년 3월 3일 - 8시,8,1820
57,2013년 3월 3일 - 9시,9,322
58,2013년 3월 3일 - 10시,10,2479
59,2013년 3월 3일 - 11시,11,2483
60,2013년 3월 3일 - 12시,12,2441
61,2013년 3월 3일 - 13시,13,953
62,2013년 3월 3일 - 14시,14,335
63,2013년 3월 3일 - 15시,15,272
64,2013년 3월 3일 - 16시,16,294
65,2013년 3월 3일 - 17시,17,235
66,2013년 3월 3일 - 18시,18,286
67,2013년 3월 3일 - 19시,19,4207
68,2013년 3월 3일 - 20시,20,5121
69,2013년 3월 3일 - 21시,21,3545
70,2013년 3월 3일 - 22시,22,580
71,2013년 3월 3일 - 23시,23,220
72,2013년 3월 4일 - 0시,0,666
73,2013년 3월 4일 - 1시,1,1143
74,2013년 3월 4일 - 2시,2,222
75,2013년 3월 4일 - 3시,3,313
76,2013년 3월 4일 - 4시,4,245
77,2013년 3월 4일 - 5시,5,234
78,2013년 3월 4일 - 6시,6,277
79,2013년 3월 4일 - 7시,7,4467
80,2013년 3월 4일 - 8시,8,1106
81,2013년 3월 4일 - 9시,9,227
82,2013년 3월 4일 - 10시,10,394
83,2013년 3월 4일 - 11시,11,1729
84,2013년 3월 4일 - 12시,12,1883
85,2013년 3월 4일 - 13시,13,817
86,2013년 3월 4일 - 14시,14,1805
87,2013년 3월 4일 - 15시,15,243
88,2013년 3월 4일 - 16시,16,765
89,2013년 3월 4일 - 17시,17,2312
