2016년 8월 1일 - 0시,0,467
2016년 8월 1일 - 1시,1,241
2016년 8월 1일 - 2시,2,242
2016년 8월 1일 - 3시,3,241
2016년 8월 1일 - 4시,4,309
2016년 8월 1일 - 5시,5,250
2016년 8월 1일 - 6시,6,2727
2016년 8월 1일 - 7시,7,2052
2016년 8월 1일 - 8시,8,298
2016년 8월 1일 - 9시,9,1247
2016년 8월 1일 - 10시,10,311
2016년 8월 1일 - 11시,11,272
2016년 8월 1일 - 12시,12,278
2016년 8월 1일 - 13시,13,270
2016년 8월 1일 - 14시,14,269
2016년 8월 1일 - 15시,15,1555
2016년 8월 1일 - 16시,16,3375
2016년 8월 1일 - 17시,17,653
2016년 8월 1일 - 18시,18,2266
2016년 8월 1일 - 19시,19,3013
2016년 8월 1일 - 20시,20,610
2016년 8월 1일 - 21시,21,510
2016년 8월 1일 - 22시,22,242
2016년 8월 1일 - 23시,23,308
2016년 8월 2일 - 0시,0,295
2016년 8월 2일 - 1시,1,289
2016년 8월 2일 - 2시,2,226
2016년 8월 2일 - 3시,3,219
2016년 8월 2일 - 4시,4,287
2016년 8월 2일 - 5시,5,368
2016년 8월 2일 - 6시,6,809
2016년 8월 2일 - 7시,7,4536
2016년 8월 2일 - 8시,8,562
2016년 8월 2일 - 9시,9,792
2016년 8월 2일 - 10시,10,260
2016년 8월 2일 - 11시,11,2727
2016년 8월 2일 - 12시,12,3139
2016년 8월 2일 - 13시,13,845
2016년 8월 2일 - 14시,14,706
2016년 8월 2일 - 15시,15,3364
2016년 8월 2일 - 16시,16,3502
2016년 8월 2일 - 17시,17,3040
2016년 8월 2일 - 18시,18,2821
2016년 8월 2일 - 19시,19,2388
2016년 8월 2일 - 20시,20,837
2016년 8월 2일 - 21시,21,1980
2016년 8월 2일 - 22시,22,500
2016년 8월 2일 - 23시,23,319
2016년 8월 3일 - 0시,0,607
2016년 8월 3일 - 1시,1,292
2016년 8월 3일 - 2시,2,298
2016년 8월 3일 - 3시,3,298
2016년 8월 3일 - 4시,4,363
2016년 8월 3일 - 5시,5,840
2016년 8월 3일 - 6시,6,2690
2016년 8월 3일 - 7시,7,859
2016년 8월 3일 - 8시,8,2863
2016년 8월 3일 - 9시,9,2964
2016년 8월 3일 - 10시,10,274
2016년 8월 3일 - 11시,11,407
2016년 8월 3일 - 12시,12,259
2016년 8월 3일 - 13시,13,267
2016년 8월 3일 - 14시,14,259
2016년 8월 3일 - 15시,15,271
2016년 8월 3일 - 16시,16,343
2016년 8월 3일 - 17시,17,538
2016년 8월 3일 - 18시,18,1971
2016년 8월 3일 - 19시,19,397
2016년 8월 3일 - 20시,20,374
2016년 8월 3일 - 21시,21,500
2016년 8월 3일 - 22시,22,412
2016년 8월 3일 - 23시,23,306
2016년 8월 4일 - 0시,0,748
2016년 8월 4일 - 1시,1,371
2016년 8월 4일 - 2시,2,371
2016년 8월 4일 - 3시,3,228
2016년 8월 4일 - 4시,4,297
2016년 8월 4일 - 5시,5,2668
2016년 8월 4일 - 6시,6,337
2016년 8월 4일 - 7시,7,326
2016년 8월 4일 - 8시,8,357
2016년 8월 4일 - 9시,9,405
2016년 8월 4일 - 10시,10,274
2016년 8월 4일 - 11시,11,702
2016년 8월 4일 - 12시,12,855
2016년 8월 4일 - 13시,13,2777
2016년 8월 4일 - 14시,14,845
2016년 8월 4일 - 15시,15,409
2016년 8월 4일 - 16시,16,410
2016년 8월 4일 - 17시,17,316
2016년 8월 4일 - 18시,18,336
2016년 8월 4일 - 19시,19,319
2016년 8월 4일 - 20시,20,509
2016년 8월 4일 - 21시,21,2653
2016년 8월 4일 - 22시,22,888
2016년 8월 4일 - 23시,23,304
2016년 8월 5일 - 0시,0,729
2016년 8월 5일 - 1시,1,234
2016년 8월 5일 - 2시,2,231
2016년 8월 5일 - 3시,3,238
2016년 8월 5일 - 4시,4,297
2016년 8월 5일 - 5시,5,918
2016년 8월 5일 - 6시,6,229
2016년 8월 5일 - 7시,7,2736
2016년 8월 5일 - 8시,8,414
2016년 8월 5일 - 9시,9,353
2016년 8월 5일 - 10시,10,274
2016년 8월 5일 - 11시,11,289
2016년 8월 5일 - 12시,12,274
2016년 8월 5일 - 13시,13,1128
2016년 8월 5일 - 14시,14,278
2016년 8월 5일 - 15시,15,275
2016년 8월 5일 - 16시,16,348
2016년 8월 5일 - 17시,17,272
2016년 8월 5일 - 18시,18,300
