,Year,Month,Day,Seq,Temp,°C
0,2013,4,1,0,1.0,℃
1,2013,4,1,1,1.0,℃
2,2013,4,1,2,1.5,℃
3,2013,4,1,3,1.5,℃
4,2013,4,1,4,2.0,℃
5,2013,4,1,5,2.0,℃
6,2013,4,1,6,2.0,℃
7,2013,4,1,7,2.0,℃
8,2013,4,1,8,2.5,℃
9,2013,4,1,9,3.0,℃
10,2013,4,1,10,3.0,℃
11,2013,4,1,11,4.0,℃
12,2013,4,1,12,3.0,℃
13,2013,4,1,13,4.0,℃
14,2013,4,1,14,4.5,℃
15,2013,4,1,15,4.0,℃
16,2013,4,1,16,4.0,℃
17,2013,4,1,17,4.0,℃
18,2013,4,1,18,3.5,℃
19,2013,4,1,19,3.0,℃
20,2013,4,1,20,2.0,℃
21,2013,4,1,21,2.0,℃
22,2013,4,1,22,1.0,℃
23,2013,4,1,23,1.0,℃
24,2013,4,2,0,1.0,℃
25,2013,4,2,1,1.0,℃
26,2013,4,2,2,1.5,℃
27,2013,4,2,3,1.5,℃
28,2013,4,2,4,2.0,℃
29,2013,4,2,5,2.0,℃
30,2013,4,2,6,2.0,℃
31,2013,4,2,7,2.0,℃
32,2013,4,2,8,2.5,℃
33,2013,4,2,9,3.0,℃
34,2013,4,2,10,3.0,℃
35,2013,4,2,11,4.0,℃
36,2013,4,2,12,3.0,℃
37,2013,4,2,13,4.0,℃
38,2013,4,2,14,4.5,℃
39,2013,4,2,15,4.0,℃
40,2013,4,2,16,4.0,℃
41,2013,4,2,17,4.0,℃
42,2013,4,2,18,3.5,℃
43,2013,4,2,19,3.0,℃
44,2013,4,2,20,2.0,℃
45,2013,4,2,21,2.0,℃
46,2013,4,2,22,1.0,℃
47,2013,4,2,23,1.0,℃
48,2013,4,3,0,1.0,℃
49,2013,4,3,1,1.0,℃
50,2013,4,3,2,1.5,℃
51,2013,4,3,3,1.5,℃
52,2013,4,3,4,2.0,℃
53,2013,4,3,5,2.0,℃
54,2013,4,3,6,2.0,℃
55,2013,4,3,7,2.0,℃
56,2013,4,3,8,2.5,℃
57,2013,4,3,9,3.0,℃
58,2013,4,3,10,3.0,℃
59,2013,4,3,11,4.0,℃
60,2013,4,3,12,3.0,℃
61,2013,4,3,13,4.0,℃
62,2013,4,3,14,4.5,℃
63,2013,4,3,15,4.0,℃
64,2013,4,3,16,4.0,℃
65,2013,4,3,17,4.0,℃
66,2013,4,3,18,3.5,℃
67,2013,4,3,19,3.0,℃
68,2013,4,3,20,2.0,℃
69,2013,4,3,21,2.0,℃
70,2013,4,3,22,1.0,℃
71,2013,4,3,23,1.0,℃
72,2013,4,4,0,1.0,℃
73,2013,4,4,1,1.0,℃
74,2013,4,4,2,1.5,℃
75,2013,4,4,3,1.5,℃
76,2013,4,4,4,2.0,℃
77,2013,4,4,5,2.0,℃
78,2013,4,4,6,2.0,℃
79,2013,4,4,7,2.0,℃
80,2013,4,4,8,2.5,℃
81,2013,4,4,9,3.0,℃
82,2013,4,4,10,3.0,℃
83,2013,4,4,11,4.0,℃
84,2013,4,4,12,3.0,℃
85,2013,4,4,13,4.0,℃
86,2013,4,4,14,4.5,℃
87,2013,4,4,15,4.0,℃
88,2013,4,4,16,4.0,℃
89,2013,4,4,17,4.0,℃
90,2013,4,4,18,3.5,℃
91,2013,4,4,19,3.0,℃
92,2013,4,4,20,2.0,℃
93,2013,4,4,21,2.0,℃
94,2013,4,4,22,1.0,℃
95,2013,4,4,23,1.0,℃
96,2013,4,5,0,1.0,℃
97,2013,4,5,1,1.0,℃
98,2013,4,5,2,1.5,℃
99,2013,4,5,3,1.5,℃
100,2013,4,5,4,2.0,℃
101,2013,4,5,5,2.0,℃
102,2013,4,5,6,2.0,℃
103,2013,4,5,7,2.0,℃
104,2013,4,5,8,2.5,℃
105,2013,4,5,9,3.0,℃
106,2013,4,5,10,3.0,℃
107,2013,4,5,11,4.0,℃
108,2013,4,5,12,3.0,℃
109,2013,4,5,13,4.0,℃
110,2013,4,5,14,4.5,℃
111,2013,4,5,15,4.0,℃
112,2013,4,5,16,4.0,℃
113,2013,4,5,17,4.0,℃
114,2013,4,5,18,3.5,℃
115,2013,4,5,19,3.0,℃
116,2013,4,5,20,2.0,℃
117,2013,4,5,21,2.0,℃
118,2013,4,5,22,1.0,℃
119,2013,4,5,23,1.0,℃
120,2013,4,6,0,1.0,℃
121,2013,4,6,1,1.0,℃
122,2013,4,6,2,1.5,℃
123,2013,4,6,3,1.5,℃
124,2013,4,6,4,2.0,℃
125,2013,4,6,5,2.0,℃
126,2013,4,6,6,2.0,℃
127,2013,4,6,7,2.0,℃
128,2013,4,6,8,2.5,℃
129,2013,4,6,9,3.0,℃
130,2013,4,6,10,3.0,℃
131,2013,4,6,11,4.0,℃
132,2013,4,6,12,3.0,℃
133,2013,4,6,13,4.0,℃
134,2013,4,6,14,4.5,℃
135,2013,4,6,15,4.0,℃
136,2013,4,6,16,4.0,℃
137,2013,4,6,17,4.0,℃
138,2013,4,6,18,3.5,℃
139,2013,4,6,19,3.0,℃
140,2013,4,6,20,2.0,℃
141,2013,4,6,21,2.0,℃
142,2013,4,6,22,1.0,℃
143,2013,4,6,23,1.0,℃
144,2013,4,7,0,1.0,℃
145,2013,4,7,1,1.0,℃
146,2013,4,7,2,1.5,℃
147,2013,4,7,3,1.5,℃
148,2013,4,7,4,2.0,℃
149,2013,4,7,5,2.0,℃
150,2013,4,7,6,2.0,℃
151,2013,4,7,7,2.0,℃
152,2013,4,7,8,2.5,℃
153,2013,4,7,9,3.0,℃
154,2013,4,7,10,3.0,℃
155,2013,4,7,11,4.0,℃
156,2013,4,7,12,3.0,℃
157,2013,4,7,13,4.0,℃
158,2013,4,7,14,4.5,℃
159,2013,4,7,15,4.0,℃
160,2013,4,7,16,4.0,℃
161,2013,4,7,17,4.0,℃
162,2013,4,7,18,3.5,℃
163,2013,4,7,19,3.0,℃
164,2013,4,7,20,2.0,℃
165,2013,4,7,21,2.0,℃
166,2013,4,7,22,1.0,℃
167,2013,4,7,23,1.0,℃
168,2013,4,8,0,1.0,℃
169,2013,4,8,1,1.0,℃
170,2013,4,8,2,1.5,℃
171,2013,4,8,3,1.5,℃
172,2013,4,8,4,2.0,℃
173,2013,4,8,5,2.0,℃
174,2013,4,8,6,2.0,℃
175,2013,4,8,7,2.0,℃
176,2013,4,8,8,2.5,℃
177,2013,4,8,9,3.0,℃
178,2013,4,8,10,3.0,℃
179,2013,4,8,11,4.0,℃
180,2013,4,8,12,3.0,℃
181,2013,4,8,13,4.0,℃
182,2013,4,8,14,4.5,℃
183,2013,4,8,15,4.0,℃
184,2013,4,8,16,4.0,℃
185,2013,4,8,17,4.0,℃
186,2013,4,8,18,3.5,℃
187,2013,4,8,19,3.0,℃
188,2013,4,8,20,2.0,℃
189,2013,4,8,21,2.0,℃
190,2013,4,8,22,1.0,℃
191,2013,4,8,23,1.0,℃
192,2013,4,9,0,1.0,℃
193,2013,4,9,1,1.0,℃
194,2013,4,9,2,1.5,℃
195,2013,4,9,3,1.5,℃
196,2013,4,9,4,2.0,℃
197,2013,4,9,5,2.0,℃
198,2013,4,9,6,2.0,℃
199,2013,4,9,7,2.0,℃
200,2013,4,9,8,2.5,℃
201,2013,4,9,9,3.0,℃
202,2013,4,9,10,3.0,℃
203,2013,4,9,11,4.0,℃
204,2013,4,9,12,3.0,℃
205,2013,4,9,13,4.0,℃
206,2013,4,9,14,4.5,℃
207,2013,4,9,15,4.0,℃
208,2013,4,9,16,4.0,℃
209,2013,4,9,17,4.0,℃
210,2013,4,9,18,3.5,℃
211,2013,4,9,19,3.0,℃
212,2013,4,9,20,2.0,℃
213,2013,4,9,21,2.0,℃
214,2013,4,9,22,1.0,℃
215,2013,4,9,23,1.0,℃
216,2013,4,10,0,1.0,℃
217,2013,4,10,1,1.0,℃
218,2013,4,10,2,1.5,℃
219,2013,4,10,3,1.5,℃
220,2013,4,10,4,2.0,℃
221,2013,4,10,5,2.0,℃
222,2013,4,10,6,2.0,℃
223,2013,4,10,7,2.0,℃
224,2013,4,10,8,2.5,℃
225,2013,4,10,9,3.0,℃
226,2013,4,10,10,3.0,℃
227,2013,4,10,11,4.0,℃
228,2013,4,10,12,3.0,℃
229,2013,4,10,13,4.0,℃
230,2013,4,10,14,4.5,℃
231,2013,4,10,15,4.0,℃
232,2013,4,10,16,4.0,℃
233,2013,4,10,17,4.0,℃
234,2013,4,10,18,3.5,℃
235,2013,4,10,19,3.0,℃
236,2013,4,10,20,2.0,℃
237,2013,4,10,21,2.0,℃
238,2013,4,10,22,1.0,℃
239,2013,4,10,23,1.0,℃
240,2013,4,11,0,1.0,℃
241,2013,4,11,1,1.0,℃
242,2013,4,11,2,1.5,℃
243,2013,4,11,3,1.5,℃
244,2013,4,11,4,2.0,℃
245,2013,4,11,5,2.0,℃
246,2013,4,11,6,2.0,℃
247,2013,4,11,7,2.0,℃
248,2013,4,11,8,2.5,℃
249,2013,4,11,9,3.0,℃
250,2013,4,11,10,3.0,℃
251,2013,4,11,11,4.0,℃
252,2013,4,11,12,3.0,℃
253,2013,4,11,13,4.0,℃
254,2013,4,11,14,4.5,℃
255,2013,4,11,15,4.0,℃
256,2013,4,11,16,4.0,℃
257,2013,4,11,17,4.0,℃
258,2013,4,11,18,3.5,℃
259,2013,4,11,19,3.0,℃
260,2013,4,11,20,2.0,℃
261,2013,4,11,21,2.0,℃
262,2013,4,11,22,1.0,℃
263,2013,4,11,23,1.0,℃
264,2013,4,12,0,1.0,℃
265,2013,4,12,1,1.0,℃
266,2013,4,12,2,1.5,℃
267,2013,4,12,3,1.5,℃
268,2013,4,12,4,2.0,℃
269,2013,4,12,5,2.0,℃
270,2013,4,12,6,2.0,℃
271,2013,4,12,7,2.0,℃
272,2013,4,12,8,2.5,℃
273,2013,4,12,9,3.0,℃
274,2013,4,12,10,3.0,℃
275,2013,4,12,11,4.0,℃
276,2013,4,12,12,3.0,℃
277,2013,4,12,13,4.0,℃
278,2013,4,12,14,4.5,℃
279,2013,4,12,15,4.0,℃
280,2013,4,12,16,4.0,℃
281,2013,4,12,17,4.0,℃
282,2013,4,12,18,3.5,℃
283,2013,4,12,19,3.0,℃
284,2013,4,12,20,2.0,℃
285,2013,4,12,21,2.0,℃
286,2013,4,12,22,1.0,℃
287,2013,4,12,23,1.0,℃
288,2013,4,13,0,1.0,℃
289,2013,4,13,1,1.0,℃
290,2013,4,13,2,1.5,℃
291,2013,4,13,3,1.5,℃
292,2013,4,13,4,2.0,℃
293,2013,4,13,5,2.0,℃
294,2013,4,13,6,2.0,℃
295,2013,4,13,7,2.0,℃
296,2013,4,13,8,2.5,℃
297,2013,4,13,9,3.0,℃
298,2013,4,13,10,3.0,℃
299,2013,4,13,11,4.0,℃
300,2013,4,13,12,3.0,℃
301,2013,4,13,13,4.0,℃
302,2013,4,13,14,4.5,℃
303,2013,4,13,15,4.0,℃
304,2013,4,13,16,4.0,℃
305,2013,4,13,17,4.0,℃
306,2013,4,13,18,3.5,℃
307,2013,4,13,19,3.0,℃
308,2013,4,13,20,2.0,℃
309,2013,4,13,21,2.0,℃
310,2013,4,13,22,1.0,℃
311,2013,4,13,23,1.0,℃
312,2013,4,14,0,1.0,℃
313,2013,4,14,1,1.0,℃
314,2013,4,14,2,1.5,℃
315,2013,4,14,3,1.5,℃
316,2013,4,14,4,2.0,℃
317,2013,4,14,5,2.0,℃
318,2013,4,14,6,2.0,℃
319,2013,4,14,7,2.0,℃
320,2013,4,14,8,2.5,℃
321,2013,4,14,9,3.0,℃
322,2013,4,14,10,3.0,℃
323,2013,4,14,11,4.0,℃
324,2013,4,14,12,3.0,℃
