,Year,Month,Day,Seq,Temp,°C
0,2014,4,1,0,11.0,℃
1,2014,4,1,1,11.5,℃
2,2014,4,1,2,10.5,℃
3,2014,4,1,3,10.0,℃
4,2014,4,1,4,9.5,℃
5,2014,4,1,5,9.0,℃
6,2014,4,1,6,9.5,℃
7,2014,4,1,7,10.0,℃
8,2014,4,1,8,11.5,℃
9,2014,4,1,9,13.5,℃
10,2014,4,1,10,15.5,℃
11,2014,4,1,11,17.0,℃
12,2014,4,1,12,17.5,℃
13,2014,4,1,13,18.0,℃
14,2014,4,1,14,18.5,℃
15,2014,4,1,15,19.0,℃
16,2014,4,1,16,19.5,℃
17,2014,4,1,17,18.5,℃
18,2014,4,1,18,17.0,℃
19,2014,4,1,19,15.5,℃
20,2014,4,1,20,13.5,℃
21,2014,4,1,21,12.5,℃
22,2014,4,1,22,12.0,℃
23,2014,4,1,23,11.0,℃
24,2014,4,2,0,10.5,℃
25,2014,4,2,1,10.0,℃
26,2014,4,2,2,10.0,℃
27,2014,4,2,3,10.0,℃
28,2014,4,2,4,10.0,℃
29,2014,4,2,5,10.0,℃
30,2014,4,2,6,10.0,℃
31,2014,4,2,7,10.5,℃
32,2014,4,2,8,12.0,℃
33,2014,4,2,9,13.0,℃
34,2014,4,2,10,14.5,℃
35,2014,4,2,11,16.0,℃
36,2014,4,2,12,17.0,℃
37,2014,4,2,13,18.0,℃
38,2014,4,2,14,17.5,℃
39,2014,4,2,15,16.0,℃
40,2014,4,2,16,15.5,℃
41,2014,4,2,17,14.5,℃
42,2014,4,2,18,14.0,℃
43,2014,4,2,19,13.0,℃
44,2014,4,2,20,13.0,℃
45,2014,4,2,21,12.5,℃
46,2014,4,2,22,12.0,℃
47,2014,4,2,23,12.0,℃
48,2014,4,3,0,12.0,℃
49,2014,4,3,1,12.0,℃
50,2014,4,3,2,11.5,℃
51,2014,4,3,3,11.0,℃
52,2014,4,3,4,11.0,℃
53,2014,4,3,5,11.0,℃
54,2014,4,3,6,11.0,℃
55,2014,4,3,7,11.0,℃
56,2014,4,3,8,12.5,℃
57,2014,4,3,9,13.5,℃
58,2014,4,3,10,14.5,℃
59,2014,4,3,11,16.0,℃
60,2014,4,3,12,17.0,℃
61,2014,4,3,13,18.0,℃
62,2014,4,3,14,18.0,℃
63,2014,4,3,15,17.5,℃
64,2014,4,3,16,16.0,℃
65,2014,4,3,17,16.0,℃
66,2014,4,3,18,15.0,℃
67,2014,4,3,19,13.5,℃
68,2014,4,3,20,12.5,℃
69,2014,4,3,21,12.0,℃
70,2014,4,3,22,12.0,℃
71,2014,4,3,23,12.0,℃
72,2014,4,4,0,12.0,℃
73,2014,4,4,1,12.0,℃
74,2014,4,4,2,13.0,℃
75,2014,4,4,3,12.5,℃
76,2014,4,4,4,12.0,℃
77,2014,4,4,5,12.0,℃
78,2014,4,4,6,12.0,℃
79,2014,4,4,7,13.0,℃
80,2014,4,4,8,13.0,℃
81,2014,4,4,9,13.0,℃
82,2014,4,4,10,13.5,℃
83,2014,4,4,11,14.0,℃
84,2014,4,4,12,15.0,℃
85,2014,4,4,13,15.0,℃
86,2014,4,4,14,15.0,℃
87,2014,4,4,15,15.0,℃
88,2014,4,4,16,15.0,℃
89,2014,4,4,17,14.0,℃
90,2014,4,4,18,15.0,℃
91,2014,4,4,19,14.5,℃
92,2014,4,4,20,13.0,℃
93,2014,4,4,21,13.0,℃
94,2014,4,4,22,12.0,℃
95,2014,4,4,23,12.0,℃
96,2014,4,5,0,10.5,℃
97,2014,4,5,1,10.0,℃
98,2014,4,5,2,9.0,℃
99,2014,4,5,3,8.5,℃
100,2014,4,5,4,8.0,℃
101,2014,4,5,5,8.0,℃
102,2014,4,5,6,8.5,℃
103,2014,4,5,7,9.5,℃
104,2014,4,5,8,11.5,℃
105,2014,4,5,9,13.5,℃
106,2014,4,5,10,14.0,℃
107,2014,4,5,11,16.0,℃
108,2014,4,5,12,15.5,℃
109,2014,4,5,13,15.5,℃
110,2014,4,5,14,15.5,℃
111,2014,4,5,15,15.0,℃
112,2014,4,5,16,14.5,℃
113,2014,4,5,17,14.0,℃
114,2014,4,5,18,14.0,℃
115,2014,4,5,19,14.0,℃
116,2014,4,5,20,14.0,℃
117,2014,4,5,21,14.0,℃
118,2014,4,5,22,14.0,℃
119,2014,4,5,23,14.0,℃
120,2014,4,6,0,14.0,℃
121,2014,4,6,1,14.0,℃
122,2014,4,6,2,14.0,℃
123,2014,4,6,3,14.0,℃
124,2014,4,6,4,14.0,℃
125,2014,4,6,5,13.0,℃
126,2014,4,6,6,13.0,℃
127,2014,4,6,7,13.5,℃
128,2014,4,6,8,13.0,℃
129,2014,4,6,9,14.0,℃
130,2014,4,6,10,14.5,℃
131,2014,4,6,11,15.0,℃
132,2014,4,6,12,15.0,℃
133,2014,4,6,13,15.0,℃
134,2014,4,6,14,16.0,℃
135,2014,4,6,15,16.0,℃
136,2014,4,6,16,16.0,℃
137,2014,4,6,17,15.5,℃
138,2014,4,6,18,15.0,℃
139,2014,4,6,19,14.5,℃
140,2014,4,6,20,14.0,℃
141,2014,4,6,21,14.0,℃
142,2014,4,6,22,14.0,℃
143,2014,4,6,23,14.0,℃
144,2014,4,7,0,14.0,℃
145,2014,4,7,1,14.0,℃
146,2014,4,7,2,14.0,℃
147,2014,4,7,3,14.0,℃
148,2014,4,7,4,14.0,℃
149,2014,4,7,5,13.5,℃
150,2014,4,7,6,13.0,℃
151,2014,4,7,7,14.0,℃
152,2014,4,7,8,14.0,℃
153,2014,4,7,9,14.0,℃
154,2014,4,7,10,14.5,℃
155,2014,4,7,11,15.0,℃
156,2014,4,7,12,15.0,℃
157,2014,4,7,13,15.0,℃
158,2014,4,7,14,14.0,℃
159,2014,4,7,15,14.0,℃
160,2014,4,7,16,14.0,℃
161,2014,4,7,17,14.0,℃
162,2014,4,7,18,14.0,℃
163,2014,4,7,19,13.0,℃
164,2014,4,7,20,12.0,℃
165,2014,4,7,21,12.0,℃
166,2014,4,7,22,10.5,℃
167,2014,4,7,23,9.0,℃
168,2014,4,8,0,9.0,℃
169,2014,4,8,1,9.0,℃
170,2014,4,8,2,8.0,℃
171,2014,4,8,3,8.0,℃
172,2014,4,8,4,8.0,℃
173,2014,4,8,5,7.0,℃
174,2014,4,8,6,7.0,℃
175,2014,4,8,7,8.0,℃
176,2014,4,8,8,9.0,℃
177,2014,4,8,9,10.0,℃
178,2014,4,8,10,11.0,℃
179,2014,4,8,11,12.0,℃
180,2014,4,8,12,12.5,℃
181,2014,4,8,13,12.5,℃
182,2014,4,8,14,13.0,℃
183,2014,4,8,15,13.0,℃
184,2014,4,8,16,13.0,℃
185,2014,4,8,17,13.0,℃
186,2014,4,8,18,12.5,℃
187,2014,4,8,19,12.0,℃
188,2014,4,8,20,11.5,℃
189,2014,4,8,21,11.0,℃
190,2014,4,8,22,9.5,℃
191,2014,4,8,23,9.0,℃
192,2014,4,9,0,8.5,℃
193,2014,4,9,1,8.0,℃
194,2014,4,9,2,7.0,℃
195,2014,4,9,3,7.0,℃
196,2014,4,9,4,7.0,℃
197,2014,4,9,5,7.0,℃
198,2014,4,9,6,6.5,℃
199,2014,4,9,7,7.5,℃
200,2014,4,9,8,9.5,℃
201,2014,4,9,9,11.5,℃
202,2014,4,9,10,13.5,℃
203,2014,4,9,11,14.0,℃
204,2014,4,9,12,15.5,℃
205,2014,4,9,13,16.0,℃
206,2014,4,9,14,17.0,℃
207,2014,4,9,15,17.0,℃
208,2014,4,9,16,17.0,℃
209,2014,4,9,17,16.0,℃
210,2014,4,9,18,15.5,℃
211,2014,4,9,19,14.5,℃
212,2014,4,9,20,13.5,℃
213,2014,4,9,21,13.0,℃
214,2014,4,9,22,12.0,℃
215,2014,4,9,23,11.0,℃
216,2014,4,10,0,11.0,℃
217,2014,4,10,1,10.0,℃
218,2014,4,10,2,9.5,℃
219,2014,4,10,3,9.0,℃
220,2014,4,10,4,8.5,℃
221,2014,4,10,5,8.0,℃
222,2014,4,10,6,8.0,℃
223,2014,4,10,7,9.5,℃
224,2014,4,10,8,11.0,℃
225,2014,4,10,9,12.5,℃
226,2014,4,10,10,14.0,℃
227,2014,4,10,11,14.0,℃
228,2014,4,10,12,15.5,℃
229,2014,4,10,13,15.5,℃
230,2014,4,10,14,16.5,℃
231,2014,4,10,15,16.5,℃
232,2014,4,10,16,16.0,℃
233,2014,4,10,17,15.0,℃
234,2014,4,10,18,15.0,℃
235,2014,4,10,19,14.0,℃
236,2014,4,10,20,14.0,℃
237,2014,4,10,21,14.0,℃
238,2014,4,10,22,13.0,℃
239,2014,4,10,23,13.0,℃
240,2014,4,11,0,13.0,℃
241,2014,4,11,1,12.0,℃
242,2014,4,11,2,12.0,℃
243,2014,4,11,3,12.0,℃
244,2014,4,11,4,11.5,℃
245,2014,4,11,5,11.0,℃
246,2014,4,11,6,11.0,℃
247,2014,4,11,7,11.0,℃
248,2014,4,11,8,12.0,℃
249,2014,4,11,9,12.0,℃
250,2014,4,11,10,13.0,℃
251,2014,4,11,11,13.5,℃
252,2014,4,11,12,14.5,℃
253,2014,4,11,13,15.0,℃
254,2014,4,11,14,15.0,℃
255,2014,4,11,15,16.0,℃
256,2014,4,11,16,15.5,℃
257,2014,4,11,17,15.0,℃
258,2014,4,11,18,15.0,℃
259,2014,4,11,19,14.5,℃
260,2014,4,11,20,13.0,℃
261,2014,4,11,21,11.0,℃
262,2014,4,11,22,10.0,℃
263,2014,4,11,23,10.0,℃
264,2014,4,12,0,9.0,℃
265,2014,4,12,1,9.5,℃
266,2014,4,12,2,9.0,℃
267,2014,4,12,3,9.0,℃
268,2014,4,12,4,9.0,℃
269,2014,4,12,5,9.5,℃
270,2014,4,12,6,9.5,℃
271,2014,4,12,7,10.5,℃
272,2014,4,12,8,12.0,℃
273,2014,4,12,9,13.5,℃
274,2014,4,12,10,13.5,℃
275,2014,4,12,11,14.0,℃
276,2014,4,12,12,15.0,℃
277,2014,4,12,13,14.5,℃
278,2014,4,12,14,14.0,℃
279,2014,4,12,15,14.0,℃
280,2014,4,12,16,14.0,℃
281,2014,4,12,17,14.0,℃
282,2014,4,12,18,13.0,℃
283,2014,4,12,19,12.0,℃
284,2014,4,12,20,12.0,℃
285,2014,4,12,21,11.0,℃
286,2014,4,12,22,11.0,℃
287,2014,4,12,23,10.0,℃
288,2014,4,13,0,10.0,℃
289,2014,4,13,1,10.0,℃
290,2014,4,13,2,10.0,℃
291,2014,4,13,3,10.0,℃
292,2014,4,13,4,10.0,℃
293,2014,4,13,5,10.0,℃
294,2014,4,13,6,10.0,℃
295,2014,4,13,7,10.0,℃
296,2014,4,13,8,11.0,℃
297,2014,4,13,9,11.0,℃
298,2014,4,13,10,12.0,℃
299,2014,4,13,11,13.0,℃
300,2014,4,13,12,14.5,℃
301,2014,4,13,13,15.0,℃
302,2014,4,13,14,16.0,℃
303,2014,4,13,15,16.0,℃
304,2014,4,13,16,16.0,℃
305,2014,4,13,17,16.0,℃
306,2014,4,13,18,15.5,℃
307,2014,4,13,19,15.0,℃
308,2014,4,13,20,14.0,℃
309,2014,4,13,21,13.0,℃
310,2014,4,13,22,12.5,℃
311,2014,4,13,23,12.0,℃
312,2014,4,14,0,11.0,℃
313,2014,4,14,1,10.0,℃
314,2014,4,14,2,10.0,℃
315,2014,4,14,3,9.0,℃
316,2014,4,14,4,9.0,℃
317,2014,4,14,5,9.0,℃
318,2014,4,14,6,9.0,℃
319,2014,4,14,7,10.0,℃
320,2014,4,14,8,10.5,℃
321,2014,4,14,9,11.0,℃
322,2014,4,14,10,12.0,℃
323,2014,4,14,11,13.0,℃
324,2014,4,14,12,13.5,℃
325,2014,4,14,13,14.0,℃
326,2014,4,14,14,14.5,℃
327,2014,4,14,15,14.0,℃
328,2014,4,14,16,15.0,℃
329,2014,4,14,17,15.0,℃
330,2014,4,14,18,14.0,℃
331,2014,4,14,19,13.5,℃
332,2014,4,14,20,11.0,℃
333,2014,4,14,21,10.0,℃
334,2014,4,14,22,9.0,℃
335,2014,4,14,23,9.0,℃
336,2014,4,15,0,8.0,℃
337,2014,4,15,1,7.5,℃
338,2014,4,15,2,6.5,℃
339,2014,4,15,3,6.0,℃
340,2014,4,15,4,6.0,℃
341,2014,4,15,5,5.0,℃
342,2014,4,15,6,6.0,℃
343,2014,4,15,7,7.0,℃
344,2014,4,15,8,8.5,℃
345,2014,4,15,9,9.5,℃
346,2014,4,15,10,10.5,℃
347,2014,4,15,11,12.0,℃
348,2014,4,15,12,12.5,℃
349,2014,4,15,13,13.0,℃
350,2014,4,15,14,14.0,℃
351,2014,4,15,15,13.0,℃
352,2014,4,15,16,12.5,℃
353,2014,4,15,17,11.5,℃
354,2014,4,15,18,10.0,℃
355,2014,4,15,19,8.5,℃
356,2014,4,15,20,8.0,℃
357,2014,4,15,21,7.5,℃
358,2014,4,15,22,7.0,℃
359,2014,4,15,23,6.0,℃
360,2014,4,16,0,6.0,℃
361,2014,4,16,1,6.0,℃
362,2014,4,16,2,6.0,℃
363,2014,4,16,3,5.5,℃
