,DateTime,Seq,Temp,°C
0,2014-8-1,0,19.0,℃
1,2014-8-1,1,19.0,℃
2,2014-8-1,2,18.0,℃
3,2014-8-1,3,17.5,℃
4,2014-8-1,4,17.0,℃
5,2014-8-1,5,17.0,℃
6,2014-8-1,6,18.0,℃
7,2014-8-1,7,18.0,℃
8,2014-8-1,8,19.5,℃
9,2014-8-1,9,20.5,℃
10,2014-8-1,10,22.0,℃
11,2014-8-1,11,22.5,℃
12,2014-8-1,12,23.5,℃
13,2014-8-1,13,24.0,℃
14,2014-8-1,14,24.0,℃
15,2014-8-1,15,24.0,℃
16,2014-8-1,16,23.0,℃
17,2014-8-1,17,22.0,℃
18,2014-8-1,18,21.5,℃
19,2014-8-1,19,20.5,℃
20,2014-8-1,20,19.5,℃
21,2014-8-1,21,19.0,℃
22,2014-8-1,22,18.0,℃
23,2014-8-1,23,18.0,℃
24,2014-8-2,0,17.5,℃
25,2014-8-2,1,17.0,℃
26,2014-8-2,2,17.0,℃
27,2014-8-2,3,17.0,℃
28,2014-8-2,4,16.5,℃
29,2014-8-2,5,17.0,℃
30,2014-8-2,6,17.0,℃
31,2014-8-2,7,17.5,℃
32,2014-8-2,8,18.0,℃
33,2014-8-2,9,18.5,℃
34,2014-8-2,10,21.5,℃
35,2014-8-2,11,22.5,℃
36,2014-8-2,12,23.5,℃
37,2014-8-2,13,24.0,℃
38,2014-8-2,14,22.5,℃
39,2014-8-2,15,22.0,℃
40,2014-8-2,16,22.0,℃
41,2014-8-2,17,23.0,℃
42,2014-8-2,18,22.5,℃
43,2014-8-2,19,21.5,℃
44,2014-8-2,20,20.5,℃
45,2014-8-2,21,19.0,℃
46,2014-8-2,22,19.0,℃
47,2014-8-2,23,19.0,℃
48,2014-8-3,0,17.5,℃
49,2014-8-3,1,16.0,℃
50,2014-8-3,2,16.0,℃
51,2014-8-3,3,15.0,℃
52,2014-8-3,4,14.5,℃
53,2014-8-3,5,14.5,℃
54,2014-8-3,6,15.5,℃
55,2014-8-3,7,17.0,℃
56,2014-8-3,8,18.5,℃
57,2014-8-3,9,20.0,℃
58,2014-8-3,10,20.0,℃
59,2014-8-3,11,21.5,℃
60,2014-8-3,12,22.0,℃
61,2014-8-3,13,23.0,℃
62,2014-8-3,14,23.0,℃
63,2014-8-3,15,23.0,℃
64,2014-8-3,16,24.0,℃
65,2014-8-3,17,23.0,℃
66,2014-8-3,18,22.0,℃
67,2014-8-3,19,21.5,℃
68,2014-8-3,20,20.5,℃
69,2014-8-3,21,19.0,℃
70,2014-8-3,22,18.0,℃
71,2014-8-3,23,18.0,℃
72,2014-8-4,0,17.0,℃
73,2014-8-4,1,17.0,℃
74,2014-8-4,2,16.0,℃
75,2014-8-4,3,16.0,℃
76,2014-8-4,4,16.0,℃
77,2014-8-4,5,16.0,℃
78,2014-8-4,6,16.5,℃
79,2014-8-4,7,17.5,℃
80,2014-8-4,8,18.5,℃
81,2014-8-4,9,20.5,℃
82,2014-8-4,10,21.0,℃
83,2014-8-4,11,23.0,℃
84,2014-8-4,12,22.5,℃
85,2014-8-4,13,24.0,℃
86,2014-8-4,14,23.5,℃
87,2014-8-4,15,23.5,℃
88,2014-8-4,16,23.5,℃
89,2014-8-4,17,23.0,℃
90,2014-8-4,18,22.0,℃
91,2014-8-4,19,22.0,℃
92,2014-8-4,20,20.5,℃
93,2014-8-4,21,20.0,℃
94,2014-8-4,22,20.0,℃
95,2014-8-4,23,19.0,℃
96,2014-8-5,0,18.0,℃
97,2014-8-5,1,17.0,℃
98,2014-8-5,2,16.5,℃
99,2014-8-5,3,16.0,℃
100,2014-8-5,4,16.0,℃
101,2014-8-5,5,15.5,℃
102,2014-8-5,6,16.5,℃
103,2014-8-5,7,17.5,℃
104,2014-8-5,8,19.5,℃
105,2014-8-5,9,21.0,℃
106,2014-8-5,10,21.5,℃
107,2014-8-5,11,22.5,℃
108,2014-8-5,12,23.0,℃
109,2014-8-5,13,24.0,℃
110,2014-8-5,14,24.0,℃
111,2014-8-5,15,23.5,℃
112,2014-8-5,16,23.5,℃
113,2014-8-5,17,22.5,℃
114,2014-8-5,18,21.5,℃
115,2014-8-5,19,21.0,℃
116,2014-8-5,20,20.0,℃
117,2014-8-5,21,19.5,℃
118,2014-8-5,22,19.0,℃
119,2014-8-5,23,19.0,℃
120,2014-8-6,0,19.0,℃
121,2014-8-6,1,18.0,℃
122,2014-8-6,2,17.0,℃
123,2014-8-6,3,17.0,℃
124,2014-8-6,4,17.0,℃
125,2014-8-6,5,18.0,℃
126,2014-8-6,6,18.0,℃
127,2014-8-6,7,17.5,℃
128,2014-8-6,8,18.5,℃
129,2014-8-6,9,19.0,℃
130,2014-8-6,10,20.5,℃
131,2014-8-6,11,22.5,℃
132,2014-8-6,12,23.5,℃
133,2014-8-6,13,24.5,℃
134,2014-8-6,14,24.5,℃
135,2014-8-6,15,25.0,℃
136,2014-8-6,16,25.0,℃
137,2014-8-6,17,25.0,℃
138,2014-8-6,18,24.5,℃
139,2014-8-6,19,24.0,℃
140,2014-8-6,20,23.0,℃
141,2014-8-6,21,22.0,℃
142,2014-8-6,22,21.0,℃
143,2014-8-6,23,20.0,℃
144,2014-8-7,0,19.5,℃
145,2014-8-7,1,19.0,℃
146,2014-8-7,2,18.5,℃
147,2014-8-7,3,18.0,℃
148,2014-8-7,4,17.0,℃
149,2014-8-7,5,17.0,℃
150,2014-8-7,6,17.5,℃
151,2014-8-7,7,19.0,℃
152,2014-8-7,8,20.5,℃
153,2014-8-7,9,21.5,℃
154,2014-8-7,10,23.0,℃
155,2014-8-7,11,24.0,℃
156,2014-8-7,12,24.5,℃
157,2014-8-7,13,25.0,℃
158,2014-8-7,14,25.5,℃
159,2014-8-7,15,25.5,℃
160,2014-8-7,16,26.5,℃
161,2014-8-7,17,25.0,℃
162,2014-8-7,18,25.0,℃
163,2014-8-7,19,23.5,℃
164,2014-8-7,20,22.0,℃
165,2014-8-7,21,21.0,℃
166,2014-8-7,22,21.0,℃
167,2014-8-7,23,20.0,℃
168,2014-8-8,0,19.0,℃
169,2014-8-8,1,19.0,℃
170,2014-8-8,2,18.0,℃
171,2014-8-8,3,18.0,℃
172,2014-8-8,4,17.5,℃
173,2014-8-8,5,18.0,℃
174,2014-8-8,6,18.5,℃
175,2014-8-8,7,19.0,℃
176,2014-8-8,8,20.0,℃
177,2014-8-8,9,19.5,℃
178,2014-8-8,10,20.5,℃
179,2014-8-8,11,21.5,℃
180,2014-8-8,12,22.5,℃
181,2014-8-8,13,23.5,℃
182,2014-8-8,14,24.0,℃
183,2014-8-8,15,21.0,℃
184,2014-8-8,16,20.5,℃
185,2014-8-8,17,21.0,℃
186,2014-8-8,18,20.0,℃
187,2014-8-8,19,20.0,℃
188,2014-8-8,20,19.0,℃
189,2014-8-8,21,18.0,℃
190,2014-8-8,22,16.5,℃
191,2014-8-8,23,16.0,℃
192,2014-8-9,0,17.0,℃
193,2014-8-9,1,16.0,℃
194,2014-8-9,2,16.0,℃
195,2014-8-9,3,16.0,℃
196,2014-8-9,4,16.0,℃
197,2014-8-9,5,15.0,℃
198,2014-8-9,6,15.5,℃
199,2014-8-9,7,16.5,℃
200,2014-8-9,8,18.0,℃
201,2014-8-9,9,18.5,℃
202,2014-8-9,10,19.5,℃
203,2014-8-9,11,21.0,℃
204,2014-8-9,12,22.0,℃
205,2014-8-9,13,23.0,℃
206,2014-8-9,14,23.0,℃
207,2014-8-9,15,23.0,℃
208,2014-8-9,16,22.0,℃
209,2014-8-9,17,21.5,℃
210,2014-8-9,18,20.5,℃
211,2014-8-9,19,19.5,℃
212,2014-8-9,20,19.0,℃
213,2014-8-9,21,18.0,℃
214,2014-8-9,22,17.5,℃
215,2014-8-9,23,17.0,℃
216,2014-8-10,0,17.0,℃
217,2014-8-10,1,16.0,℃
218,2014-8-10,2,16.0,℃
219,2014-8-10,3,15.5,℃
220,2014-8-10,4,15.5,℃
221,2014-8-10,5,16.0,℃
222,2014-8-10,6,17.0,℃
223,2014-8-10,7,17.5,℃
224,2014-8-10,8,18.0,℃
225,2014-8-10,9,18.5,℃
226,2014-8-10,10,18.5,℃
227,2014-8-10,11,19.5,℃
228,2014-8-10,12,21.5,℃
229,2014-8-10,13,22.5,℃
230,2014-8-10,14,19.0,℃
231,2014-8-10,15,20.0,℃
232,2014-8-10,16,20.5,℃
233,2014-8-10,17,20.0,℃
234,2014-8-10,18,19.5,℃
235,2014-8-10,19,19.0,℃
236,2014-8-10,20,18.5,℃
237,2014-8-10,21,18.0,℃
238,2014-8-10,22,17.0,℃
239,2014-8-10,23,16.0,℃
240,2014-8-11,0,15.5,℃
241,2014-8-11,1,15.0,℃
242,2014-8-11,2,15.0,℃
243,2014-8-11,3,14.0,℃
244,2014-8-11,4,14.0,℃
245,2014-8-11,5,14.5,℃
246,2014-8-11,6,15.5,℃
247,2014-8-11,7,16.5,℃
248,2014-8-11,8,17.5,℃
249,2014-8-11,9,19.0,℃
250,2014-8-11,10,20.0,℃
251,2014-8-11,11,20.5,℃
252,2014-8-11,12,20.5,℃
253,2014-8-11,13,18.0,℃
254,2014-8-11,14,19.0,℃
255,2014-8-11,15,19.0,℃
256,2014-8-11,16,19.0,℃
257,2014-8-11,17,19.0,℃
258,2014-8-11,18,16.0,℃
259,2014-8-11,19,17.5,℃
260,2014-8-11,20,17.0,℃
261,2014-8-11,21,15.5,℃
262,2014-8-11,22,15.0,℃
263,2014-8-11,23,15.0,℃
264,2014-8-12,0,15.0,℃
265,2014-8-12,1,15.0,℃
266,2014-8-12,2,14.0,℃
267,2014-8-12,3,14.0,℃
268,2014-8-12,4,14.0,℃
269,2014-8-12,5,14.0,℃
270,2014-8-12,6,15.0,℃
271,2014-8-12,7,16.0,℃
272,2014-8-12,8,17.0,℃
273,2014-8-12,9,18.5,℃
274,2014-8-12,10,19.5,℃
275,2014-8-12,11,20.0,℃
276,2014-8-12,12,20.5,℃
277,2014-8-12,13,17.5,℃
278,2014-8-12,14,19.0,℃
279,2014-8-12,15,19.0,℃
280,2014-8-12,16,19.0,℃
281,2014-8-12,17,18.5,℃
282,2014-8-12,18,19.0,℃
283,2014-8-12,19,19.0,℃
