,DateTime,Seq,Temp,'C,Humidity,%
0,2015-6-1,0,10.0,'C,66.0,%
1,2015-6-1,1,9.5,'C,68.5,%
2,2015-6-1,2,9.0,'C,76.0,%
3,2015-6-1,3,9.0,'C,71.0,%
4,2015-6-1,4,9.0,'C,71.0,%
5,2015-6-1,5,9.0,'C,73.5,%
6,2015-6-1,6,10.5,'C,64.0,%
7,2015-6-1,7,11.0,'C,64.5,%
8,2015-6-1,8,13.0,'C,54.0,%
9,2015-6-1,9,14.0,'C,51.0,%
10,2015-6-1,10,15.0,'C,46.5,%
11,2015-6-1,11,15.0,'C,51.0,%
12,2015-6-1,12,12.0,'C,77.0,%
13,2015-6-1,13,13.0,'C,67.5,%
14,2015-6-1,14,14.0,'C,55.0,%
15,2015-6-1,15,14.0,'C,55.0,%
16,2015-6-1,16,13.5,'C,52.5,%
17,2015-6-1,17,13.5,'C,56.5,%
18,2015-6-1,18,14.0,'C,53.0,%
19,2015-6-1,19,13.0,'C,58.0,%
20,2015-6-1,20,13.0,'C,63.0,%
21,2015-6-1,21,13.0,'C,67.0,%
22,2015-6-1,22,12.5,'C,72.0,%
23,2015-6-1,23,12.0,'C,77.0,%
24,2015-6-2,0,12.5,'C,77.0,%
25,2015-6-2,1,13.0,'C,79.5,%
26,2015-6-2,2,13.0,'C,82.0,%
27,2015-6-2,3,14.0,'C,82.0,%
28,2015-6-2,4,14.0,'C,85.0,%
29,2015-6-2,5,14.0,'C,88.0,%
30,2015-6-2,6,14.5,'C,85.0,%
31,2015-6-2,7,15.5,'C,79.5,%
32,2015-6-2,8,16.0,'C,82.0,%
33,2015-6-2,9,16.0,'C,82.0,%
34,2015-6-2,10,17.0,'C,77.0,%
35,2015-6-2,11,16.5,'C,79.5,%
36,2015-6-2,12,17.0,'C,77.0,%
37,2015-6-2,13,17.0,'C,74.5,%
38,2015-6-2,14,18.0,'C,68.0,%
39,2015-6-2,15,19.0,'C,62.0,%
40,2015-6-2,16,19.0,'C,60.0,%
41,2015-6-2,17,18.5,'C,55.5,%
42,2015-6-2,18,17.5,'C,61.0,%
43,2015-6-2,19,16.5,'C,65.5,%
44,2015-6-2,20,15.5,'C,70.0,%
45,2015-6-2,21,15.0,'C,72.0,%
46,2015-6-2,22,14.0,'C,77.0,%
47,2015-6-2,23,14.0,'C,72.0,%
48,2015-6-3,0,14.0,'C,67.0,%
49,2015-6-3,1,14.0,'C,67.0,%
50,2015-6-3,2,13.0,'C,72.0,%
51,2015-6-3,3,13.0,'C,72.0,%
52,2015-6-3,4,12.5,'C,74.5,%
53,2015-6-3,5,13.0,'C,72.0,%
54,2015-6-3,6,13.5,'C,69.5,%
55,2015-6-3,7,14.5,'C,63.0,%
56,2015-6-3,8,15.5,'C,57.0,%
57,2015-6-3,9,16.0,'C,48.0,%
58,2015-6-3,10,17.0,'C,47.0,%
59,2015-6-3,11,18.0,'C,40.0,%
60,2015-6-3,12,17.5,'C,41.0,%
61,2015-6-3,13,18.5,'C,39.5,%
62,2015-6-3,14,20.0,'C,35.0,%
63,2015-6-3,15,18.5,'C,41.0,%
64,2015-6-3,16,19.5,'C,38.5,%
65,2015-6-3,17,19.0,'C,37.0,%
66,2015-6-3,18,18.5,'C,38.5,%
67,2015-6-3,19,18.5,'C,42.5,%
68,2015-6-3,20,17.5,'C,42.0,%
69,2015-6-3,21,16.5,'C,46.5,%
70,2015-6-3,22,15.0,'C,57.0,%
71,2015-6-3,23,14.0,'C,59.0,%
72,2015-6-4,0,13.5,'C,63.0,%
73,2015-6-4,1,13.0,'C,67.0,%
74,2015-6-4,2,12.0,'C,69.5,%
75,2015-6-4,3,11.5,'C,71.5,%
76,2015-6-4,4,11.0,'C,76.0,%
77,2015-6-4,5,13.0,'C,67.5,%
78,2015-6-4,6,14.5,'C,65.0,%
79,2015-6-4,7,16.0,'C,55.5,%
80,2015-6-4,8,17.0,'C,48.5,%
81,2015-6-4,9,18.0,'C,45.0,%
82,2015-6-4,10,19.5,'C,44.5,%
83,2015-6-4,11,20.0,'C,44.5,%
84,2015-6-4,12,21.0,'C,43.0,%
85,2015-6-4,13,21.5,'C,43.0,%
86,2015-6-4,14,21.5,'C,44.5,%
87,2015-6-4,15,22.0,'C,41.0,%
88,2015-6-4,16,22.0,'C,29.0,%
89,2015-6-4,17,22.0,'C,36.5,%
90,2015-6-4,18,19.5,'C,54.0,%
91,2015-6-4,19,18.0,'C,59.0,%
92,2015-6-4,20,16.5,'C,65.5,%
93,2015-6-4,21,15.5,'C,70.0,%
94,2015-6-4,22,15.0,'C,74.5,%
95,2015-6-4,23,15.0,'C,77.0,%
96,2015-6-5,0,14.0,'C,82.0,%
97,2015-6-5,1,14.0,'C,82.0,%
98,2015-6-5,2,14.0,'C,85.0,%
99,2015-6-5,3,14.0,'C,88.0,%
100,2015-6-5,4,14.0,'C,91.0,%
101,2015-6-5,5,14.5,'C,91.0,%
102,2015-6-5,6,16.5,'C,85.0,%
103,2015-6-5,7,18.0,'C,83.0,%
104,2015-6-5,8,20.0,'C,78.0,%
105,2015-6-5,9,23.5,'C,67.0,%
106,2015-6-5,10,24.5,'C,63.0,%
107,2015-6-5,11,23.5,'C,63.0,%
108,2015-6-5,12,23.5,'C,59.0,%
109,2015-6-5,13,24.0,'C,51.5,%
110,2015-6-5,14,25.0,'C,44.0,%
111,2015-6-5,15,24.5,'C,47.0,%
112,2015-6-5,16,23.5,'C,53.0,%
113,2015-6-5,17,23.0,'C,51.5,%
114,2015-6-5,18,22.5,'C,51.5,%
115,2015-6-5,19,20.0,'C,58.0,%
116,2015-6-5,20,18.0,'C,57.5,%
117,2015-6-5,21,15.5,'C,46.5,%
118,2015-6-5,22,14.5,'C,53.0,%
119,2015-6-5,23,14.0,'C,59.0,%
120,2015-6-6,0,12.0,'C,64.5,%
121,2015-6-6,1,12.0,'C,64.5,%
122,2015-6-6,2,11.5,'C,69.0,%
123,2015-6-6,3,11.0,'C,76.0,%
124,2015-6-6,4,10.5,'C,76.5,%
125,2015-6-6,5,11.0,'C,71.0,%
126,2015-6-6,6,12.0,'C,67.0,%
127,2015-6-6,7,13.5,'C,61.0,%
128,2015-6-6,8,15.0,'C,51.0,%
129,2015-6-6,9,16.0,'C,45.0,%
130,2015-6-6,10,16.5,'C,42.0,%
131,2015-6-6,11,17.0,'C,40.5,%
